Tag,Quadrat,DBH,Latin,Date_Collected,Collected_By,Date_Mounted,Mounted_By,Date_First_Measured,First_Measured_by,Date_Second_Measured,Second_Measured_by,number_of_rings,Center,Duplicate,Notes
91487,908,345,Carya glabra,6/16/10,DC,7/6/10,CL,10/1/10,JM,,,88,,0,"10/1/10, JM: 88 rings, 2009-1922."
100680,1004,277.8,Carya glabra,6/11/10,JG,6/21/10,JM,9/15/10,JM,,,84,,0,"9/15/10, JM: 84 rings, 2009-1926."
100961,1010,224.5,Carya glabra,6/3/10,MB,7/6/10,CL,9/15/10,JM,,,39,,0,"6/3/10, MB: tree hollow up to about 1.5 m, took sample at a higher point; 9/15/10, JM: 39 rings, 2009-1971. First section mounted incorrectly, based on vessel cells, I think there is one ring."
100974,1011,168.5,Carya glabra,6/3/10,MB,7/12/10,JM,9/15/10,JM,,,50,0,0,"9/15/10, JM: 50 rings, 2009-1960. Cannont distinguish ring boundaries after ring 50 due to scarring. May not be accurate. First piece of core twisted, started on second piece."
101041,1007,275.1,Carya glabra,NA,NA,NA,NA,NA,NA,,,NA,,0,"6/14/10, MH: already cored."
101159,1013,223.8,Carya glabra,6/1/10,DC,6/17/10,JM,10/1/10,JM,,,131,,0,"10/1/10, JM: 131 rings, 2009-1879."
111094,1110,343.8,Carya glabra,6/4/10,JM,7/12/10,JM,9/15/10,JM,,,79,0,0,"9/15/10, JM: 79 rings, 2009-1931."
111212,1112,153,Carya glabra,6/4/10,JM,7/7/10,JM,10/1/10,JM,,,69,,0,"10/1/10, JM: 69 rings, 2009-1941."
121088,1207,208.3,Carya glabra,6/10/10,JM,6/30/10,JM,10/1/10,JM,,,112,,0,"6/30/10, JM: a piece of core between two pieces of bark. Moved it to the front of core, I think its in the right position; 10/1/10, JM: 112 rings, 2009-1898. First section of core can't distinguish cells. Using vessels, approximate 3 rings inside this section."
121105,1207,493.4,Carya glabra,6/10/10,JT,7/12/10,JM,9/15/10,JM,,,104,,0,"9/15/10, JM: 104 rings, 2009-1906."
131032,1308,333.3,Carya glabra,6/7/10,JM,7/6/10,CL,9/15/10,JM,,,127,,0,"9/15/10, JM: 127 rings, 2009-1883."
131113,1310,508.7,Carya glabra,6/7/10,JM,6/28/10,JM,9/15/10,JM,,,103,,0,"9/15/10, JM: 103 rings, 2009-1907."
70545,712,192.4,Carya glabra,6/1/10,JM,UNK,JM,10/1/10,JM,,,117,0,1,"10/1/10, JM: 117 rings, 2009-1893. Cored twice."
70545,712,192.4,Carya glabra,8/5/10,JM,8/10/10,JM,,,,,,,1,"10/1/10, JM: Cored twice."
50262,505,164.4,Carya ovalis,6/15/10,KL,6/28/10,JM,9/30/10,JM,,,71,,0,"9/30/10, JM: 71 rings, 2009-1939."
50336,506,330.3,Carya ovalis,6/14/10,JM,6/24/10,HB,9/28/10,JM,,,117,,0,"9/28/10, JM: 117 rings, 2009-1893."
50442,507,399.9,Carya ovalis,6/16/10,JM,6/21/10,JM,9/29/10,JM,,,110,,0,"9/29/10, JM: 110 rings, 2009-1900."
60124,606,303.3,Carya ovalis,6/15/10,CL,7/6/10,CL,10/1/10,JM,,,120,,0,"10/1/10, JM: 120 rings, 2009-1890."
60358,608,236.6,Carya ovalis,6/15/10,CL,7/6/10,CL,9/28/10,JM,,,123,,0,"9/28/10, JM: 120 rings, 2009-1887."
70162,706,451.8,Carya ovalis,6/15/10,KL,6/22/10,HB,9/28/10,JM,,,117,,0,"9/28/10, JM: 117 rings, 2009-1893."
70388,709,169.5,Carya ovalis,6/16/10,DC,7/28/10,JM,,,,,,,0,
80474,809,329.6,Carya ovalis,6/16/10,DC,7/6/10,CL,9/30/10,JM,,,115,,0,"9/30/10, JM: 115 rings, 2009-1895. Can't distinguish cells for the first 10 rings, so completely dependent on vessel cells."
80503,809,255.6,Carya ovalis,6/16/10,DC,7/12/10,CL,9/30/10,JM,,,109,,0,"9/30/10, JM: 109 rings, 2009-1901."
80554,813,456.8,Carya ovalis,6/3/10,MB,7/7/10,JM,9/28/10,JM,,,66,,0,"9/28/10, JM: 66 rings, 2009-1944."
90552,912,402.7,Carya ovalis,6/1/10,JT,6/17/10,JM,9/15/10,JM,,,90,,0,"9/15/10, JM: 90 rings, 2009-1920."
91302,906,603.2,Carya ovalis,6/14/10,JM,6/21/10,JM,9/28/10,JM,,,114,,0,"9/28/10, JM: 114 rings, 2009-1896."
91332,907,477.9,Carya ovalis,6/14/10,MH,6/21/10,JM,9/28/10,JM,,,89,,0,"9/28/10, JM: 89 rings, 2009-1921."
91385,909,420.8,Carya ovalis,6/16/10,AC,6/30/10,JM,9/28/10,JM,,,133,,0,"9/28/10, JM: 133 rings, 2009-1877."
100919,1008,193.1,Carya ovalis,6/16/10,JM,6/18/10,JM,9/29/10,JM,,,76,,0,"9/29/10, JM: 76 rings, 2009-1934. First 14 rings very challenging to distinguish- may have done so incorrectly."
100963,1010,182.4,Carya ovalis,6/3/10,JM,7/12/10,CL,9/30/10,JM,,,58,,0,"9/30/10, JM: 58 rings, 2009-1952."
101107,1010,343.2,Carya ovalis,NA,NA,NA,NA,NA,NA,,,NA,,0,"6/3/10, MB: tree hollow above head, and so we did not core."
111081,1110,429.6,Carya ovalis,6/4/10,JM,7/6/10,CL,9/28/10,JM,,,132,,0,"6/4/10, JM: No bark; 9/28/10, JM: 132 rings, 2009-1878."
111189,1112,186.4,Carya ovalis,6/4/10,JM,7/12/10,JM,9/30/10,JM,,,69,,0,"9/30/10, JM: 69 rings, 2009-1941."
121162,1208,307.9,Carya ovalis,6/10/10,JM,7/12/10,CL,9/28/10,JM,,,110,,0,"9/28/10, JM: 110 rings, 2009-1900."
121301,1211,230.8,Carya ovalis,6/7/10,JM,7/1/10,HB,9/29/10,JM,,,79,,0,"6/7/10, JM: dropped front piece of core, but found it, believe it is correct; 9/29/10, JM: 79 rings, 2009-1931."
130788,1309,151.1,Carya ovalis,6/8/10,JM,6/17/10,JM,9/30/10,JM,,,87,,0,"9/30/10, JM: 87 rings, 2009-1923."
131061,1309,291.6,Carya ovalis,6/8/10,JM,7/7/10,JM,9/29/10,JM,,,83,,0,"9/29/10, JM: 83 rings, 2009-1927."
131091,1311,219.5,Carya ovalis,6/7/10,JM,7/12/10,JM,9/30/10,JM,,,92,,0,"9/30/10, JM: 92 rings, 2009-1918."
131138,1311,206.4,Carya ovalis,6/8/10,JM,6/24/10,JM,9/29/10,JM,,,84,,0,"6/8/10, JM: found tag at the base of tree, hooked on a piece of bark; 9/29/10, JM: 84 rings, 2009-1926. "
140810,1410,214.7,Carya ovalis,6/8/10,JM,6/17/10,JM,9/29/10,JM,,,87,,0,"9/29/10, JM: 87 rings, 2009-1923."
111190,1112,338.3,Carya ovalis,6/4/10,JM,UNK,JM,9/30/10,JM,,,93,,1,"9/30/10, JM: 93 rings, 2009-1917. Cored twice."
111190,1112,338.3,Carya ovalis,8/5/10,JM,8/10/10,CL,,,,,,,1,"9/30/10, JM: Cored twice."
50356,507,387.8,Carya ovalis,6/16/10,JM,UNK,JM,9/29/10,JM,,,82,,1,"9/29/10, JM: 82 rings, 2009-1928. Cored twice."
50356,507,387.8,Carya ovalis,8/4/10,JM,8/10/10,JM,,,,,,,1,"9/29/10, JM: Cored twice."
80640,811,548.9,Carya ovalis,8/5/10,JM,8/10/10,JM,,,,,,,1,"9/28/10, JM: Cored twice."
80640,811,548.9,Carya ovalis,6/3/10,JM,UNK,CL,9/28/10,JM,,,92,,1,"9/28/10, JM: 92 rings, 2009-1918. Cored twice."
40550,406,257.4,Carya tomentosa,6/14/10,JM,6/22/10,HB,,,,,,,0,
50267,504,440.3,Carya tomentosa,6/15/10,KL,6/28/10,JM,,,,,,,0,
50339,506,178.9,Carya tomentosa,6/14/10,JM,6/21/10,JM,,,,,,,0,
60110,605,278.3,Carya tomentosa,6/15/10,CL,6/30/10,JM,,,,,,,0,
60160,608,165,Carya tomentosa,6/15/10,CL,7/12/10,JM,,,,,,,0,"7/12/10, JM: end of core rotten, pieced together as well as possible."
60266,604,484.7,Carya tomentosa,6/15/10,KL,6/30/10,JM,,,,,,,0,
60349,608,257.2,Carya tomentosa,6/15/10,CL,6/30/10,JM,,,,,,,0,
70343,707,178.2,Carya tomentosa,6/15/10,KL,6/17/10,JM,,,,,,,0,
70422,710,202.7,Carya tomentosa,6/2/10,JB,7/28/10,JM,,,,,,,0,
80479,809,186,Carya tomentosa,6/16/10,DC,7/6/10,CL,,,,,,,0,
80513,809,154.4,Carya tomentosa,6/1/10,DC,7/6/10,CL,,,,,,,0,
80619,810,322.4,Carya tomentosa,6/2/10,JB,6/17/10,JM,,,,,,,0,
80632,811,227,Carya tomentosa,6/3/10,MB,7/7/10,JM,,,,,,,0,
80634,811,230,Carya tomentosa,6/3/10,MB,7/7/10,JM,,,,,,,0,
80703,810,160.4,Carya tomentosa,6/2/10,JM,6/21/10,JM,,,,,,,0,
80706,810,193.3,Carya tomentosa,6/2/10,JB,7/7/10,JM,,,,,,,0,
80749,812,168.6,Carya tomentosa,6/3/10,MB,7/7/10,JM,,,,,,,0,
90539,911,335.8,Carya tomentosa,6/3/10,JM,7/12/10,CL,,,,,,,0,
90556,912,165.6,Carya tomentosa,6/3/10,MB,7/12/10,JM,,,,,,,0,
91382,909,204.6,Carya tomentosa,6/16/10,AC,6/30/10,JM,,,,,,,0,
91391,909,444.1,Carya tomentosa,6/16/10,JM,6/21/10,JM,10/1/10,JM,,,103,,0,"10/1/10, JM: 103 rings, 2009-1907."
91403,906,257.5,Carya tomentosa,6/14/10,MH,6/22/10,JM,,,,,,,0,
100979,1011,201.3,Carya tomentosa,6/3/10,MB,7/16/10,CL,,,,,,,0,
100993,1012,255.4,Carya tomentosa,6/4/10,JM,7/12/10,CL,,,,,,,0,
101117,1011,209.3,Carya tomentosa,6/3/10,MB,7/7/10,JM,,,,,,,0,
101134,1012,195,Carya tomentosa,6/4/10,JM,7/6/10,CL,,,,,,,0,
111077,1109,163.8,Carya tomentosa,6/10/10,JM,6/30/10,JM,,,,,,,0,
111169,1110,264.9,Carya tomentosa,6/4/10,JM,7/12/10,CL,,,,,,,0,
111180,1111,323.1,Carya tomentosa,6/4/10,JM,7/12/10,CL,,,,,,,0,
111188,1112,435.6,Carya tomentosa,6/4/10,JM,7/12/10,CL,,,,,,,0,
111192,1112,171.4,Carya tomentosa,6/4/10,JM,7/6/10,CL,,,,,,,0,
121292,1210,238.7,Carya tomentosa,6/7/10,JM,7/12/10,JM,,,,,,,0,
121296,1210,167.6,Carya tomentosa,6/4/10,JM,7/12/10,CL,,,,,,,0,
130766,1308,281.2,Carya tomentosa,6/10/10,JM,7/6/10,CL,,,,,,,0,
131128,1310,565.9,Carya tomentosa,6/7/10,JM,7/12/10,CL,,,,,,,0,
140947,1408,236,Carya tomentosa,6/10/10,JT,6/18/10,JM,,,,,,,0,
30212,304,137.8,Fagus grandifolia,3/7/11,JL,3/10/11,SR,,,,,,,,
30214,305,122.1,Fagus grandifolia,3/7/11,NP,3/10/11,AT,4/5/11,JM,,,60,1,0,"4/5/11, JM: 60 rings, 2009-1950."
40479,405,151.4,Fagus grandifolia,6/14/10,CL,6/18/10,JM,8/31/10,JM,,,41,1,0,"8/31/10, JM: 41 rings, 2009-1969."
40480,405,159.4,Fagus grandifolia,6/14/10,CL,6/17/10,JM,9/13/10,JM,,,47,1,0,"9/13/10, JM: 47 rings, 2009-1963. Although first section may be mounted incorrectly, I can see two ring boundaries."
40485,405,163.5,Fagus grandifolia,6/14/10,JM,6/22/10,HB,8/31/10,JM,,,37,1,0,"8/31/10, JM: 37 rings, 2009-1973."
40493,405,140.8,Fagus grandifolia,3/7/11,NP,3/10/11,AT,3/30/11,JM,,,57,1,0,"3/30/11, JM: 57 rings, 2009-1953. The tree has two piths; used the first one."
40535,405,151.4,Fagus grandifolia,6/14/10,CL,6/21/10,JM,,,,,,,0,
40536,405,127,Fagus grandifolia,3/7/11,NP,3/10/11,AT,3/30/11,JM,,,46,1,0,"3/30/11, JM: 46 rings, 2009-1964. First three rings on very crumbly, broken piece of core."
40549,406,159.9,Fagus grandifolia,6/14/10,CL,6/18/10,JM,9/1/10,JM,,,59,1,0,"9/1/10, JM: 59 rings, 2009-1951."
40554,406,406.2,Fagus grandifolia,6/14/10,CL,7/1/10,HB,9/10/10,JM,,,82,1,0,"9/10/10, JM: 82 rings, 2009-1928."
50299,506,176.5,Fagus grandifolia,6/14/10,CL,7/11/10,JM,9/10/10,JM,,,46,1,0,"9/10/10, JM: 46 rings, 2009-1964."
50301,505,103,Fagus grandifolia,3/7/11,NP,3/10/11,AT,3/28/11,JM,6/7/11,JM,52,1,0,"3/28/11, JM: 51 rings, 2010-1960; 6/7/11, JM: 52 rings, 2010-1961. Based on crossdating and the broken front of core, added two ""0"" rings to the beginning, greatly improving correlation."
50330,506,146.2,Fagus grandifolia,3/7/11,NW,3/10/11,DS,4/5/11,JM,,,52,1,0,"4/5/11, JM: 52 rings, 2009-1958."
50340,506,152.7,Fagus grandifolia,6/14/10,CL,6/21/10,JM,9/1/10,JM,,,66,1,0,"9/1/10, JM: 76 rings, 2009-1944."
50433,507,127.2,Fagus grandifolia,3/7/11,SR,3/10/11,JG2,3/30/11,JM,,,47,1,0,"3/30/11, JM: 48 rings, 2009-1962; 6/8/11, JM: 47 rings, 2009-1963. Might be missing rings at the beginning of the core, but too far off to make add ""0"" rings. Re-measured, slightly improved correlation."
60086,605,170.5,Fagus grandifolia,6/15/10,CL,7/12/10,JM,8/24/10,JM,,,57,1,0,"8/24/10, JM: 57 rings, 2009-1953."
60111,605,410.2,Fagus grandifolia,6/15/10,CL,7/6/10,CL,8/24/10,JM,12/13/10,JM,87,1,0,"8/24/10, JM: 87 rings, 2009-1923; 12/13/10, JM: re-measured core, small improvement in correlation, but cannot find missing rings. ~ last 10 rings are on scarred wood, that's also where there is the lowest correlation. "
60129,606,146.8,Fagus grandifolia,3/7/11,SR,3/10/11,SR,3/30/11,JM,6/7/11,JM,59,1,0,"3/30/11, JM: 59 rings, 2009-1951. First three rings on very crumbly, broken pieces of core. "
60135,607,121.9,Fagus grandifolia,3/7/11,NP,3/10/11,SR,,,,,,,,
60145,607,205.2,Fagus grandifolia,6/15/10,CL,7/11/10,JM,9/10/10,JM,,,39,1,0,"9/10/10, JM: 39 rings, 2009-1971."
60295,605,109.6,Fagus grandifolia,3/7/11,SR,3/10/11,SR,4/7/11,JM,6/9/11,JM,48,1,0,"4/7/11, JM: 53 rings, 2009-1957. First 4 rings on broken pieces of core; 6/9/11, JM: 48 rings, 2009-1962. Not as many rings in the broken pieces as I originally thought?"
60339,607,157.3,Fagus grandifolia,6/15/10,CL,7/7/10,JM,9/1/10,JM,,,46,1,0,"9/1/10, JM: 46 rings, 2009-1964."
70180,707,147,Fagus grandifolia,3/7/11,NP,3/10/11,SR,4/4/11,JM,6/8/11,JM,31,1,0,"4/4/11, JM: 31 rings, 2009-1979; 6/8/11, JM: re-measured, I don't know what is wrong with this core, but still low correlation."
70182,707,193.6,Fagus grandifolia,6/15/10,KL,6/17/10,JM,8/31/10,JM,,,59,1,0,"8/31/10, JM: 59 rings, 2009-1951."
90062,902,216.8,Fagus grandifolia,6/11/10,JM,6/18/10,JM,8/31/10,JM,,,62,1,0,"8/31/10, JM: 62 rings, 2009-1948."
90121,903,216.5,Fagus grandifolia,6/11/10,JG,6/18/10,JM,9/1/10,JM,,,56,1,0,"9/1/10, JM: 56 rings, 2009-1954. I think mismounted core in ring 3- may be more rings, but I can't distinguish them."
90276,903,242.9,Fagus grandifolia,6/11/10,JG,6/18/10,JM,9/13/10,JM,,,50,1,0,"9/13/10, JM: 50 rings, 2009-1960. Second section of core mounted incorrectly, but because of vessel cells, I can see ring boundaries- 1 ring in the scarred section."
90278,903,161,Fagus grandifolia,6/11/10,JM,7/1/10,HB,9/1/10,JM,12/14/10,JM,61,1,0,"9/1/10, JM: 60 rings, 2009-1950. I think the second piece of core is mounted backwards. I think there is one complete ring in the front 3 sections of core; 12/14/10, JM: 61 rings, 2009-1949. I was able to account for all but one of the rings, core so broken up at the beginning, hard to tell if rings are missing."
90284,903,163.9,Fagus grandifolia,6/11/10,JG,7/6/10,CL,9/1/10,JM,12/14/10,JM,56,1,0,"9/1/10, JM: 54 rings, 2009-1956. Front section of core may be mounted incorrectly- I can't distinguish any rings; 12/13/10, JM: 2009-1954. With the help of dplr, found two missing rings and re-measured core. Greatly improved."
90292,904,119.6,Fagus grandifolia,3/8/11,JG2,3/10/11,RO,3/28/11,JM,,,56,1,0,"3/28/11, JM: 56 rings, 2010-1955."
90567,912,155.7,Fagus grandifolia,6/3/10,JM,7/12/10,CL,9/13/10,JM,6/7/11,JM,60,1,0,"9/13/10, JM: 59 rings, 2009-1951. Front part of core mounted incorrectly, believe there are two rings in this section; 6/7/11, JM: 60 rings, 2009-1950. Based upon crossdate, believe that missing one ring at the beginning of core in twisted area. "
90616,910,209.7,Fagus grandifolia,6/3/10,MB,7/7/10,JM,9/1/10,JM,12/14/10,JM,89,0,0,"9/1/10, JM: 86 rings, 2009-1924; 89 rings, 2009-1921. First pieces of core broken and poorly mounted together, chances that part of outer edge of core is missing is high. Adding three rings to the beginning increases correlation from -.15 to .37. Kept these edits."
90658,913,220.8,Fagus grandifolia,6/1/10,JT,7/12/10,JM,8/31/10,JM,6/7/11,JM,54,1,0,"6/1/10, JT: broken into two pieces. 8/31/10, JM: 77 rings, 2009-1933. Scarring in ring 56; 6/7/11, JM: Removed rings after 56, improved correlation."
100956,1010,158,Fagus grandifolia,6/3/10,MB,7/7/10,JM,9/1/10,JM,12/13/10,JM,39,1,0,"9/1/10, JM: 37 rings, 2009-1973; 12/13/10, JM: 39 rings, 2009-1971. First piece of core does not have bark, is broken, and the first two rings could have been lost. That said, I don't know for sure. However, everything indicates a -2 shift, and correlation went from -.24 to .35."
100985,1011,153,Fagus grandifolia,6/3/10,JM,7/12/10,CL,8/31/10,JM,12/13/10,JM,42,1,0,"8/31/10, JM: 41 rings, 2009-1969; 12/13/10, JM: 42 rings, 2009-1968. Once again I CAN'T FIND ANY MISSING RINGS."
101100A,1010,154.8,Fagus grandifolia,6/3/10,JM,7/12/10,JM,8/24/10,JM,,,64,1,0,"8/24/10, JM: 64 rings, 2009-1946."
101150B,1013,115.8,Fagus grandifolia,3/8/11,CK,3/10/11,RO,3/29/11,JM,,,35,0,0,"3/29/11, JM: 35 rings, 2009-1975."
110795,1104,169.1,Fagus grandifolia,6/14/10,MH,6/21/10,JM,9/1/10,JM,,,44,1,0,"9/1/10, JM: 44 rings, 2009-1966."
110797,1104,195.4,Fagus grandifolia,6/14/10,JM,6/18/10,JM,9/1/10,JM,,,56,1,0,"9/1/10, JM: 56 rings, 2009-1954."
111171,1110,113.6,Fagus grandifolia,3/8/11,RO,3/10/11,TB,3/29/11,JM,6/7/11,JM,60,1,0,"3/29/11, JM: 58 rings, 2009-1952; 6/7/11, JM: 60 rings, 2009-1950."
111208,1112,246.4,Fagus grandifolia,6/4/10,JM,6/17/10,JM,8/31/10,JM,12/13/10,JM,80,1,0,"8/31/10, JM: 78 rings, 2009-1931; 12/13/10, JM: 80 rings, 2009-1930."
150941,1508,137.9,Fagus grandifolia,3/8/11,JG2,3/10/11,RO,3/29/11,JM,,,,1,0,
50281,505,136.3,Liriodendron tulipifera,3/7/11,JL,3/10/11,AT,4/7/11,JM,,,55,1,0,"4/7/11, JM: 55 rings, 2009-1955."
50406,506,324.2,Liriodendron tulipifera,6/14/10,CL,6/21/10,JM,8/23/10,JM,,,71,1,0,"8/23/10, JM: 71 rings, 2009-1939."
60083,604,187.3,Liriodendron tulipifera,6/15/10,KL,6/28/10,JM,8/24/10,JM,,,50,0,0,"8/24/10, JM: 50 rings, 2009-1960."
60125,606,103,Liriodendron tulipifera,3/7/11,NP,3/10/11,AT,3/29/11,JM,8/10/11,JM,80,1,0,"3/29/11, JM: 80 rings, 2009-1930; 8/10/11, JM: 79 rings, 2009-1931."
60130,606,161.1,Liriodendron tulipifera,6/15/10,CL,7/6/10,CL,8/24/10,JM,12/9/10,JM,66,1,0,"8/24/10, JM: 66 rings, 2009-1944. Ring 30 is false, the large cells make it appear like a true ring, but it is incomplete; 12/9/10, JM: somewhere between 1960-70, there are a suggested two additional rings, however I cannot find them, so accept low correlation."
60287,605,434.3,Liriodendron tulipifera,6/15/10,CL,6/24/10,HB,8/24/10,JM,,,63,1,0,"8/24/10, JM: 63 rings, 2009-1947."
70433,710,691.5,Liriodendron tulipifera,6/2/10,JB,6/17/10,JM,8/17/10,JM,12/8/10,JM,95,0,0,"8/17/10, JM: 95 rings, 2009-1915; 12/8/10, JM: re-measured core, greatly improve correlation."
70563,713,101.9,Liriodendron tulipifera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/8/11, RO: Dead stem."
80248,805,132.7,Liriodendron tulipifera,3/8/11,RO,3/10/11,JM,3/28/11,JM,,,70,1,0,"3/28/11, JM: 70 rings, 2009-1930."
80282,806,260.8,Liriodendron tulipifera,6/15/10,CL,7/12/10,JM,8/23/10,JM,,,55,1,0,"8/23/10, JM: 52 rings, 2009-1955. First 30 rings, difficult/impossible to see the cell boundaries."
80304,804,768,Liriodendron tulipifera,6/15/10,JM,6/18/10,JM,8/17/10,JM,,,100,1,0,"8/17/10, JM: 100 rings, 2009-1910. 1952 and 1941 are narrow rings."
80711,810,516.4,Liriodendron tulipifera,6/2/10,JB,7/12/10,CL,11/10/10,JM,12/10/10,JM,104,1,0,"11/10/10, JM: 103 rings, 2009-1907; 12/10/10, JM: 104 rings, 2009-1906. Believe there was a missing ring at the front of core."
80719,810,200.5,Liriodendron tulipifera,6/4/10,JM,7/6/10,CL,8/23/10,JM,12/8/10,JM,95,1,0,"8/23/10, JM: 94 rings, 2009-1916. May be missing the first section of the core, it is too worn down to sand; 12/8/10, JM: 95 rings, 2009-1915. Missed a ring boundary on the outside edge of core."
80746,812,215.8,Liriodendron tulipifera,6/3/10,MB,7/12/10,JM,8/24/10,JM,12/10/10,JM,50,1,0,"8/24/10, JM: 48 rings, 2009-1962; 12/10/10, JM: 50 rings, 2009-1960. Re-measured, and re-measured can't seem to improve the last 10 years. "
90287,904,493.1,Liriodendron tulipifera,6/11/10,JM,6/17/10,JM,8/24/10,JM,,,90,1,0,"8/24/10, JM: 90 rings, 2009-1920."
90369,905,122.7,Liriodendron tulipifera,3/8/11,MF,3/10/11,RO,3/28/11,JM,,,56,1,0,"3/28/11, JM: 56 rings, 2009-1954."
90486,906,539.8,Liriodendron tulipifera,6/14/10,MH,7/1/10,HB,11/10/10,JM,,,83,1,0,"11/10/10, JM: 83 rings, 2009-1927. Boundaries for ring 72 and 73 difficult to see because staining in wood."
90645,912,155.2,Liriodendron tulipifera,8/5/10,JM,8/10/10,CL,11/4/10,JM,,,56,1,0,"Cored originally on 6/01/10 by JM; 11/4/10, JM: 56 rings, 2009-1954."
91377,908,262.1,Liriodendron tulipifera,6/16/10,JM,6/24/10,HB,8/24/10,JM,,,83,1,0,"8/24/10, JM: 83 rings, 2009-1927. Ring 44 is a partial, look at the base of the core."
91491,908,125.1,Liriodendron tulipifera,3/8/11,RO,3/10/11,TB,3/28/11,JM,8/10/11,JM,82,0,0,"3/28/11, JM: 83 rings, 2009-1927. Last piece of core mounted backwards, but don't think the two pieces are continuous, so didn't measure it; 8/10/11, JM: 82 rings, 2009-1928. There was a false ring at ring 31, didn't think was false before, but removing improve correlation greatly."
100866,1007,158,Liriodendron tulipifera,NA,NA,NA,NA,NA,NA,,,NA,NA,0,"6/14/10, MH: done?"
