plot,x,y,Total_N_mean,NH4_mean,P,pH2,pH1,Al,Ca,K,Mg,Mn,ECEC,BS
1392,215,475,3.682995333,3.820314927,17.59019025,4.792207302,4.82,0.33,9.66,0.32,2.06,0.92,13.43,87.49
1393,215,485,3.795822431,3.906464974,17.02991023,4.847083643,4.90,0.28,9.81,0.33,2.07,0.89,13.53,88.22
1394,215,495,3.918139149,3.942827638,16.46620407,4.843103225,4.91,0.26,9.74,0.34,2.03,0.87,13.32,87.12
1395,215,505,4.141981916,3.951649801,15.98029276,4.801289919,4.88,0.24,9.57,0.35,1.98,0.87,13.05,85.44
1396,215,515,4.7778944,4.509922346,15.63181178,4.772662263,4.84,0.21,9.42,0.36,1.96,0.87,12.89,84.57
1397,215,525,5.03073669,5.064731382,15.4047486,4.825138105,4.88,0.20,9.39,0.36,1.99,0.80,12.97,85.49
1398,215,535,4.541811093,4.637464955,15.32498819,4.956735106,4.98,0.17,9.55,0.36,2.07,0.69,13.33,87.34
1399,215,545,4.403064611,4.522426955,15.49872308,5.103556145,5.11,0.13,9.98,0.35,2.17,0.59,13.92,88.83
1400,215,555,4.503868903,4.626564639,15.95747037,5.248454228,5.25,0.09,11.02,0.36,2.33,0.53,14.88,89.81
1401,215,565,4.703283784,4.815680013,16.62559818,5.388818307,5.40,0.07,12.80,0.38,2.56,0.51,16.19,91.49
1402,215,575,4.873187257,4.972685427,17.35405806,5.510774889,5.55,0.05,14.83,0.41,2.80,0.49,17.49,93.93
1403,215,585,5.020326356,5.106975865,17.94826758,5.592851938,5.68,0.03,16.52,0.43,2.99,0.47,18.39,95.94
1404,215,595,5.298963825,5.367739833,18.23785015,5.629254724,5.76,0.03,17.20,0.44,3.08,0.44,18.62,96.95
1405,215,605,5.814168517,5.842691526,18.29269729,5.625301714,5.76,0.03,16.92,0.45,3.09,0.41,18.42,97.33
1406,215,615,6.618915874,6.594602081,18.26381406,5.597949466,5.70,0.03,16.06,0.45,3.03,0.39,18.05,97.63
1407,215,625,6.800842723,6.774246926,18.22816478,5.572011745,5.60,0.04,14.94,0.44,2.92,0.38,17.50,97.97
1408,215,635,6.377079696,6.392516938,18.24616263,5.55968235,5.53,0.05,13.78,0.43,2.78,0.38,16.81,97.57
1409,225,5,5.721920526,5.549210088,12.78993243,5.263556695,5.26,0.06,12.07,0.64,3.07,0.48,15.96,94.85
1410,225,15,4.951216652,4.862703817,13.02164877,5.215004547,5.22,0.06,11.78,0.59,3.04,0.48,15.93,94.98
1411,225,25,4.065924415,4.048592766,13.26189212,5.231857788,5.26,0.07,12.01,0.56,3.08,0.46,16.29,95.66
1412,225,35,4.276450084,4.265938691,13.57245554,5.336451536,5.37,0.10,13.05,0.57,3.27,0.45,17.28,96.63
1413,225,45,4.604796214,4.572976516,13.86778968,5.444743619,5.48,0.14,14.51,0.61,3.58,0.44,18.72,97.16
1414,225,55,4.630477379,4.603057626,14.03285316,5.519137497,5.55,0.17,15.90,0.65,3.91,0.43,20.27,97.25
1415,225,65,4.629437487,4.591473444,13.90078973,5.600226557,5.61,0.22,16.64,0.69,4.10,0.40,21.43,97.67
1416,225,75,4.849000993,4.766940544,13.47973088,5.689129396,5.68,0.26,16.68,0.73,4.15,0.36,21.99,98.35
1417,225,85,5.2663327,5.162875282,12.94550684,5.753186754,5.73,0.29,16.35,0.77,4.15,0.32,22.19,98.71
1418,225,95,5.722365688,5.634047338,12.36152967,5.768737815,5.75,0.29,15.66,0.78,4.11,0.29,21.99,98.65
1419,225,105,4.923364902,4.858958068,11.75623,5.714057788,5.70,0.26,14.41,0.77,3.96,0.27,21.12,98.22
1420,225,115,4.090791222,4.080238569,11.19332581,5.626405062,5.63,0.21,13.16,0.74,3.79,0.24,19.90,97.98
1421,225,125,3.292059333,3.332059987,10.72415938,5.553395113,5.58,0.14,12.24,0.71,3.68,0.21,18.81,98.01
1422,225,135,3.166776442,3.222694472,10.43569115,5.564930767,5.59,0.09,12.13,0.71,3.68,0.20,18.45,98.45
1423,225,145,3.592559983,3.645093926,10.31179175,5.661128438,5.68,0.07,12.98,0.72,3.76,0.20,18.82,99.27
1424,225,155,3.641265432,3.717148488,10.28360241,5.766523689,5.79,0.05,14.15,0.74,3.88,0.20,19.14,99.65
1425,225,165,3.509886948,3.624170037,10.38934762,5.803837872,5.82,0.04,15.17,0.75,3.97,0.21,19.07,99.37
1426,225,175,3.581147629,3.65744484,10.68708893,5.697996128,5.74,0.04,15.55,0.70,3.99,0.26,18.55,98.53
1427,225,185,3.68259721,3.720820167,11.14946225,5.502238446,5.57,0.04,15.16,0.64,3.89,0.35,17.76,97.11
1428,225,195,3.850289621,3.867869577,11.68677619,5.283445481,5.39,0.05,14.17,0.58,3.67,0.46,16.85,95.16
1429,225,205,3.784786159,3.793123743,12.17686186,5.131393995,5.26,0.06,13.04,0.53,3.40,0.56,15.94,93.11
1430,225,215,3.497188919,3.460630471,12.59453672,5.054544646,5.17,0.07,11.83,0.50,3.11,0.61,15.10,91.20
1431,225,225,3.32093434,3.05749782,13.02617623,4.988407639,5.06,0.08,10.46,0.46,2.84,0.64,14.38,89.63
1432,225,235,3.225160655,2.672216231,13.59871464,4.928598885,4.94,0.09,9.24,0.43,2.64,0.64,13.94,88.49
1433,225,245,3.181300913,2.94869899,14.43212804,4.888840924,4.84,0.13,8.57,0.40,2.57,0.60,13.90,88.08
1434,225,255,3.082383408,3.116158002,15.42577194,4.872619018,4.80,0.17,8.60,0.38,2.64,0.55,14.26,88.52
1435,225,265,2.823435605,2.957768995,16.50337394,4.869747736,4.81,0.19,9.30,0.37,2.83,0.51,14.93,89.08
1436,225,275,2.967901974,3.119852309,17.67304177,4.845012864,4.82,0.21,10.86,0.36,3.16,0.52,16.13,89.55
1437,225,285,3.332769763,3.534311463,18.88208421,4.769199347,4.78,0.23,12.75,0.33,3.52,0.58,17.64,89.28
1438,225,295,3.642747733,4.185345529,20.07054628,4.672424615,4.70,0.22,14.28,0.31,3.75,0.67,18.95,89.61
1439,225,305,4.009575867,5.06947122,21.24623422,4.602363127,4.63,0.20,15.29,0.29,3.81,0.75,19.68,89.68
1440,225,315,3.570578095,4.122560569,22.38557916,4.590459168,4.61,0.22,15.70,0.29,3.68,0.84,19.70,88.49
1441,225,325,3.176948362,3.389907199,23.32606888,4.605810676,4.63,0.23,15.52,0.30,3.44,0.92,19.10,86.27
1442,225,335,2.896519694,3.026318994,23.85447038,4.603005178,4.63,0.23,14.51,0.30,3.10,0.98,17.88,83.30
1443,225,345,2.879259438,2.997771418,23.69713986,4.548183327,4.57,0.30,12.51,0.30,2.66,0.99,16.07,78.20
1444,225,355,3.051303072,3.179928181,22.95120182,4.440133559,4.47,0.55,9.94,0.30,2.21,0.94,13.97,70.89
1445,225,365,3.008570248,3.145005974,22.07961593,4.309747681,4.34,1.06,7.61,0.29,1.83,0.89,12.19,64.26
1446,225,375,2.876743432,3.015933111,21.54052045,4.204640226,4.22,1.78,6.03,0.29,1.60,0.88,11.06,60.46
1447,225,385,3.118879188,3.25353752,21.63604325,4.165925095,4.15,2.31,5.52,0.29,1.53,0.95,10.66,61.64
1448,225,395,3.423762966,3.54700609,22.02652224,4.156108757,4.11,2.33,5.53,0.29,1.54,1.06,10.63,65.47
1449,225,405,3.83500956,3.958927278,22.25333326,4.132652762,4.08,2.04,5.56,0.29,1.58,1.12,10.68,67.38
1450,225,415,3.706056436,3.849778221,21.9277891,4.052017502,4.02,1.94,5.27,0.28,1.53,1.06,10.61,62.46
1451,225,425,2.947322395,3.122928879,21.05572834,3.978828974,3.96,1.89,4.94,0.27,1.42,0.95,10.44,55.58
1452,225,435,2.783818957,2.991056836,19.88769584,4.090772873,4.06,1.44,5.37,0.27,1.41,1.01,10.50,60.70
1453,225,445,2.52937385,2.721056365,18.85942396,4.264377631,4.25,0.95,6.31,0.28,1.46,1.03,10.75,68.28
1454,225,455,3.046424583,3.229438299,18.21044458,4.496477962,4.49,0.58,7.68,0.29,1.61,0.95,11.27,76.42
1455,225,465,3.557612818,3.730894379,17.72409474,4.73917564,4.74,0.37,9.01,0.30,1.81,0.83,11.92,83.76
1456,225,475,3.912661241,4.110548344,17.24559269,4.929277635,4.93,0.27,9.88,0.31,1.95,0.73,12.45,88.98
1457,225,485,4.012978699,4.199815951,16.61728813,4.96535168,4.98,0.26,9.88,0.31,1.94,0.70,12.42,89.16
1458,225,495,3.871031317,4.000325085,15.88389602,4.849231343,4.89,0.31,9.26,0.31,1.81,0.76,11.91,85.06
1459,225,505,3.616172896,3.708983392,15.22369272,4.69096779,4.76,0.38,8.54,0.31,1.70,0.82,11.41,79.76
1460,225,515,3.355493237,3.442597884,14.73015445,4.596740917,4.68,0.43,8.03,0.31,1.66,0.85,11.23,76.75
1461,225,525,3.786002951,3.919130865,14.43280033,4.667643431,4.73,0.43,7.96,0.31,1.72,0.81,11.47,79.07
1462,225,535,3.966645638,4.121243859,14.34876143,4.779745874,4.80,0.37,8.10,0.31,1.82,0.75,11.98,82.29
1463,225,545,3.81584297,3.961286103,14.53988624,4.852566747,4.87,0.29,8.46,0.30,1.91,0.69,12.59,83.22
1464,225,555,4.009384335,4.145145721,15.06684873,4.992608557,5.01,0.20,9.59,0.31,2.10,0.63,13.58,84.00
1465,225,565,4.583793593,4.708998843,15.85460028,5.229614682,5.24,0.12,11.63,0.35,2.40,0.56,15.05,87.43
1466,225,575,5.122447562,5.214904627,16.71903499,5.467147956,5.50,0.07,13.99,0.39,2.72,0.49,16.59,91.90
1467,225,585,5.633904452,5.696516688,17.43216524,5.641470924,5.69,0.04,15.85,0.42,2.97,0.44,17.76,95.82
1468,225,595,5.562794708,5.624618165,17.70880483,5.687646126,5.78,0.03,16.30,0.42,3.04,0.41,18.00,97.61
1469,225,605,5.635955104,5.692971723,17.70580401,5.672686461,5.78,0.03,15.68,0.42,3.01,0.39,17.65,97.99
1470,225,615,5.898694469,5.954105679,17.62644718,5.639894389,5.72,0.03,14.55,0.42,2.92,0.37,17.08,97.89
1471,225,625,5.891566925,5.977302705,17.64785796,5.602545005,5.63,0.03,13.59,0.41,2.83,0.36,16.64,97.58
1472,225,635,5.991640226,6.07008171,17.79006896,5.583306655,5.56,0.04,12.90,0.40,2.74,0.37,16.31,97.34
1473,235,5,5.609480603,5.483946502,12.69463502,5.378143107,5.38,0.05,13.01,0.68,3.19,0.46,17.17,96.27
1474,235,15,4.329527282,4.306233019,12.9018299,5.339134627,5.36,0.05,12.76,0.62,3.16,0.44,17.10,96.49
1475,235,25,2.19883426,2.227929327,13.06839066,5.339955541,5.38,0.05,12.82,0.56,3.17,0.41,17.16,97.05
1476,235,35,3.979302384,3.989892098,13.37391057,5.440532861,5.48,0.08,13.92,0.58,3.38,0.40,18.07,97.79
1477,235,45,4.893389678,4.854015037,13.6391567,5.557369205,5.60,0.12,15.12,0.63,3.67,0.39,19.21,98.27
1478,235,55,5.159831024,5.141978432,13.77905078,5.683559673,5.70,0.17,16.07,0.67,3.97,0.35,20.28,98.45
1479,235,65,5.117176882,5.09416561,13.66145595,5.743428649,5.73,0.21,16.46,0.72,4.16,0.33,20.95,98.39
1480,235,75,5.044291008,4.970454582,13.28933227,5.741038771,5.72,0.24,16.30,0.76,4.21,0.34,21.17,98.20
1481,235,85,5.866256962,5.787514748,12.81988468,5.757406962,5.73,0.25,15.87,0.82,4.26,0.33,21.17,98.11
1482,235,95,7.961439235,8.000936488,12.29077466,5.749461535,5.71,0.23,15.12,0.85,4.30,0.32,20.91,97.84
1483,235,105,5.533129368,5.489768443,11.69704235,5.63802572,5.60,0.21,13.55,0.80,4.02,0.30,19.77,97.31
1484,235,115,4.406607072,4.389315095,11.15025215,5.488623288,5.47,0.17,12.13,0.73,3.74,0.29,18.43,96.85
1485,235,125,4.091604843,4.101453335,10.71217515,5.329673185,5.34,0.11,11.08,0.68,3.56,0.29,17.21,96.39
1486,235,135,3.938803672,3.968865703,10.44871792,5.338073639,5.36,0.08,11.11,0.66,3.53,0.28,16.89,96.38
1487,235,145,3.809267908,3.866135748,10.33267027,5.516865369,5.53,0.08,12.24,0.68,3.62,0.25,17.52,97.20
1488,235,155,3.565300857,3.694392769,10.31999473,5.692415771,5.69,0.06,13.59,0.71,3.77,0.23,18.28,98.20
1489,235,165,2.98747833,3.240456059,10.44106717,5.810180581,5.80,0.05,14.90,0.74,3.91,0.22,18.89,98.96
1490,235,175,3.465478807,3.598639373,10.80916942,5.715200181,5.74,0.05,15.59,0.69,3.99,0.27,18.98,98.94
1491,235,185,3.737888937,3.793715325,11.35570304,5.534309562,5.58,0.04,15.54,0.63,3.98,0.34,18.70,98.13
1492,235,195,4.275542488,4.291616419,12.00817565,5.306951726,5.38,0.05,14.71,0.56,3.84,0.45,18.11,96.45
1493,235,205,4.217407524,4.214664409,12.62036692,5.183336302,5.27,0.06,13.93,0.53,3.64,0.53,17.49,95.06
1494,235,215,3.601431913,3.524981954,13.14617938,5.169061981,5.25,0.06,13.28,0.51,3.42,0.56,16.89,94.31
1495,235,225,3.393178915,2.81454393,13.67559437,5.12762545,5.19,0.05,12.22,0.49,3.19,0.60,16.26,93.85
1496,235,235,3.307719703,1.61253943,14.31328886,5.075046991,5.09,0.05,11.10,0.46,3.04,0.61,15.83,93.58
1497,235,245,3.235658469,2.697623205,15.30044013,5.0342643,5.01,0.08,10.54,0.44,3.03,0.58,15.88,92.98
1498,235,255,3.062211976,3.071475461,16.43023897,5.020363238,4.98,0.11,10.61,0.42,3.15,0.52,16.27,93.47
1499,235,265,2.363077524,2.528903877,17.63288142,5.045890557,5.01,0.11,11.18,0.42,3.35,0.47,16.90,94.64
1500,235,275,3.264160055,3.429832425,18.91543505,5.062508463,5.04,0.13,12.70,0.42,3.70,0.46,18.24,95.31
1501,235,285,3.82270163,4.065220763,19.99509095,4.96535119,4.96,0.15,14.31,0.37,4.02,0.51,19.83,95.00
1502,235,295,4.166962387,5.239075465,20.95051489,4.856481172,4.85,0.13,15.45,0.33,4.19,0.55,20.95,95.34
1503,235,305,5.608977573,9.302738582,21.92385678,4.788833292,4.79,0.11,16.30,0.30,4.23,0.58,21.51,95.64
1504,235,315,3.992742498,5.07218769,22.99013987,4.805821611,4.79,0.12,16.97,0.30,4.09,0.65,21.57,94.17
1505,235,325,3.207392201,3.475624422,23.92923735,4.852305465,4.84,0.12,17.33,0.31,3.91,0.71,21.26,92.77
1506,235,335,2.53585944,2.634681078,24.55835001,4.885412538,4.88,0.09,17.01,0.31,3.67,0.78,20.42,92.20
1507,235,345,2.5068252,2.590928968,24.36154233,4.812121999,4.84,0.13,15.05,0.31,3.21,0.80,18.42,87.69
1508,235,355,2.986062226,3.123566483,23.42379086,4.632342072,4.70,0.31,11.94,0.31,2.59,0.78,15.71,79.18
1509,235,365,2.78140844,2.93777232,22.39670453,4.439161657,4.53,0.69,9.11,0.30,2.06,0.76,13.43,71.68
1510,235,375,2.066096366,2.210882421,21.62842799,4.28523812,4.34,1.23,7.00,0.29,1.72,0.74,11.86,66.89
1511,235,385,2.900301106,3.056071108,21.76972484,4.257632375,4.27,1.56,6.45,0.29,1.62,0.83,11.36,68.18
1512,235,395,3.481639455,3.622300088,22.15854359,4.266804283,4.24,1.52,6.40,0.29,1.62,0.95,11.20,72.01
1513,235,405,4.58707163,4.757277413,22.40790693,4.27896851,4.22,1.23,6.40,0.28,1.67,1.06,11.15,75.97
1514,235,415,4.571539593,4.752303689,22.00608711,4.229127968,4.16,1.18,6.13,0.28,1.63,1.05,11.02,73.28
1515,235,425,3.413342267,3.579025012,20.96101533,4.159945967,4.09,1.30,5.79,0.28,1.51,0.98,10.80,67.20
1516,235,435,2.624137736,2.790478597,19.68709984,4.180243438,4.12,1.14,5.86,0.29,1.41,0.98,10.65,67.17
1517,235,445,1.426569786,1.520230531,18.46564397,4.280735161,4.26,0.81,6.44,0.30,1.36,0.98,10.58,70.93
1518,235,455,2.742440116,2.909075331,17.83971591,4.52742311,4.53,0.50,7.70,0.30,1.50,0.87,10.83,77.31
1519,235,465,3.569849262,3.755295803,17.33992276,4.814028611,4.81,0.30,9.03,0.29,1.69,0.72,11.22,84.27
1520,235,475,4.19325015,4.48463067,16.8748939,5.09000321,5.06,0.20,10.10,0.29,1.87,0.58,11.73,91.30
1521,235,485,4.291852265,4.579460362,16.14985255,5.11005214,5.07,0.20,9.81,0.29,1.84,0.56,11.56,91.45
1522,235,495,3.844035583,4.016037453,15.23301774,4.872707658,4.86,0.31,8.53,0.28,1.61,0.65,10.71,84.32
1523,235,505,3.145319544,3.296925258,14.46113843,4.621497405,4.64,0.50,7.43,0.27,1.46,0.75,10.05,76.11
1524,235,515,1.797500488,1.889630386,13.88390209,4.449723027,4.51,0.73,6.71,0.27,1.39,0.82,9.81,70.51
1525,235,525,2.945245888,3.121060167,13.54195121,4.597051299,4.63,0.80,6.86,0.27,1.49,0.78,10.19,75.60
1526,235,535,3.188406494,3.379766248,13.43594296,4.729858524,4.74,0.74,7.05,0.27,1.61,0.75,10.75,80.50
1527,235,545,2.724927206,2.859606481,13.63659367,4.695127885,4.73,0.61,7.22,0.26,1.68,0.76,11.29,79.67
1528,235,555,3.136395499,3.253378565,14.22740615,4.791359192,4.83,0.40,8.27,0.28,1.87,0.72,12.27,79.83
1529,235,565,4.463648386,4.602200234,15.12331688,5.102062202,5.12,0.21,10.43,0.32,2.23,0.61,13.89,84.92
1530,235,575,5.385453493,5.477763052,16.09462098,5.418178339,5.42,0.10,12.86,0.37,2.61,0.50,15.62,90.85
1531,235,585,6.669601578,6.712447683,16.95549053,5.685343238,5.67,0.05,14.97,0.40,2.94,0.41,17.11,96.33
1532,235,595,5.851549115,5.91126639,17.18697651,5.722052976,5.74,0.03,15.08,0.40,2.97,0.39,17.26,98.46
1533,235,605,5.659257888,5.72747296,17.17086667,5.70728166,5.75,0.03,14.29,0.40,2.89,0.37,16.80,98.66
1534,235,615,5.94277501,6.016539326,17.07129441,5.681859584,5.71,0.02,13.05,0.39,2.77,0.34,16.11,98.13
1535,235,625,5.425462589,5.608747741,17.17770814,5.631000108,5.64,0.02,12.32,0.38,2.70,0.34,15.78,97.40
1536,235,635,5.839893793,5.957556284,17.41628298,5.61290164,5.59,0.04,12.07,0.38,2.66,0.36,15.75,96.80
1537,245,5,5.603043989,5.526172251,12.6558653,5.494275879,5.50,0.05,13.97,0.74,3.30,0.45,18.34,97.05
1538,245,15,4.864824242,4.860047236,12.87642283,5.485224816,5.50,0.05,14.00,0.69,3.30,0.43,18.43,97.33
1539,245,25,4.180711618,4.199001243,13.02446331,5.513335813,5.54,0.05,14.25,0.63,3.34,0.40,18.57,97.92
1540,245,35,4.664002176,4.652234794,13.22933316,5.574578762,5.61,0.07,14.86,0.62,3.49,0.38,19.02,98.50
1541,245,45,5.068855942,5.022207258,13.42354782,5.644122508,5.68,0.11,15.43,0.64,3.73,0.36,19.56,98.81
1542,245,55,5.179664745,5.132384734,13.5135309,5.713445595,5.73,0.15,15.81,0.68,3.96,0.34,19.99,98.84
1543,245,65,5.095335026,5.049646718,13.41443339,5.745820832,5.74,0.18,15.95,0.72,4.11,0.33,20.19,98.56
1544,245,75,4.988453647,4.932297251,13.1222242,5.740809508,5.73,0.20,15.78,0.77,4.17,0.33,20.10,98.10
1545,245,85,5.283248115,5.223821566,12.72103884,5.729870899,5.70,0.20,15.33,0.82,4.19,0.33,19.83,97.61
1546,245,95,5.715335298,5.676077028,12.2405991,5.684088386,5.65,0.18,14.46,0.84,4.14,0.32,19.29,97.10
1547,245,105,4.967326886,4.941799574,11.69570936,5.566117334,5.53,0.17,13.06,0.78,3.93,0.32,18.32,96.43
1548,245,115,4.357103591,4.362076937,11.17552721,5.409455474,5.38,0.15,11.66,0.71,3.69,0.33,17.21,95.74
1549,245,125,4.122344341,4.151770685,10.76829253,5.275092169,5.26,0.12,10.67,0.65,3.54,0.33,16.35,95.35
1550,245,135,3.982285301,4.029143403,10.51878359,5.27400205,5.25,0.10,10.63,0.62,3.51,0.32,16.18,95.50
1551,245,145,3.845424051,3.9123997,10.39951234,5.410994682,5.38,0.09,11.46,0.63,3.57,0.29,16.74,96.25
1552,245,155,3.674762343,3.782233884,10.39768945,5.582370599,5.55,0.07,12.72,0.65,3.69,0.26,17.62,97.35
1553,245,165,3.456507708,3.608723871,10.55647716,5.711187999,5.69,0.06,14.21,0.67,3.84,0.25,18.48,98.28
1554,245,175,3.508868241,3.624801946,10.95715617,5.714139594,5.72,0.05,15.47,0.65,3.98,0.27,19.10,98.80
1555,245,185,3.684244574,3.754844705,11.59100228,5.626074153,5.65,0.04,16.24,0.62,4.08,0.32,19.54,98.79
1556,245,195,3.962165262,3.997258915,12.38385127,5.503945618,5.53,0.04,16.44,0.58,4.10,0.39,19.75,98.25
1557,245,205,3.921726506,3.942235567,13.15611632,5.413179939,5.45,0.04,16.08,0.56,3.99,0.44,19.50,97.45
1558,245,215,3.597546829,3.576350524,13.82576643,5.359150795,5.40,0.04,15.29,0.54,3.75,0.48,18.84,96.73
1559,245,225,3.448174322,3.193010215,14.49850163,5.297395491,5.33,0.04,14.27,0.51,3.54,0.51,18.23,96.46
1560,245,235,3.383591939,2.826411942,15.27562083,5.226139092,5.23,0.05,13.22,0.49,3.45,0.53,17.92,96.30
1561,245,245,3.313454092,3.087078996,16.29321194,5.158460052,5.14,0.07,12.61,0.46,3.50,0.53,18.03,96.05
1562,245,255,3.243714296,3.282361227,17.50674569,5.113901932,5.09,0.10,12.65,0.44,3.66,0.50,18.49,96.48
1563,245,265,3.374739249,3.484849019,18.82128504,5.116332845,5.10,0.11,13.37,0.44,3.91,0.47,19.23,97.18
1564,245,275,4.641529246,4.710908558,20.12688255,5.145957648,5.14,0.13,14.83,0.44,4.23,0.45,20.49,97.35
1565,245,285,4.021426364,4.198750037,21.06928971,5.080181698,5.08,0.12,16.06,0.39,4.44,0.46,21.73,97.03
1566,245,295,3.790950581,4.353962564,21.86541098,5.012197365,5.01,0.11,16.93,0.34,4.52,0.47,22.62,97.51
1567,245,305,4.06022415,5.153647983,22.68723168,4.983884427,4.96,0.09,17.57,0.31,4.50,0.48,23.09,98.12
1568,245,315,3.595703838,4.175881836,23.56392348,5.006447568,4.96,0.09,18.05,0.31,4.38,0.51,23.18,97.65
1569,245,325,3.238754136,3.467380788,24.3376879,5.062506248,5.01,0.08,18.49,0.32,4.22,0.55,22.98,97.57
1570,245,335,3.15573763,3.260148908,24.84807862,5.130885967,5.09,0.07,18.66,0.34,4.08,0.56,22.43,97.88
1571,245,345,3.133157552,3.225835312,24.61828034,5.042205411,5.06,0.09,16.82,0.34,3.62,0.59,20.36,93.80
1572,245,355,3.094190157,3.238006556,23.74991404,4.798868895,4.89,0.23,13.41,0.33,2.87,0.65,17.28,85.96
1573,245,365,2.986971842,3.149520182,22.85372901,4.580012391,4.69,0.48,10.46,0.32,2.28,0.68,14.77,79.06
1574,245,375,2.840001912,3.007365763,22.23318077,4.429268773,4.50,0.80,8.36,0.31,1.91,0.71,13.13,75.29
1575,245,385,3.082057535,3.246509275,22.17866829,4.378945619,4.41,1.01,7.55,0.30,1.75,0.77,12.35,75.54
1576,245,395,3.389214518,3.543841723,22.37562606,4.381485255,4.38,1.01,7.41,0.30,1.73,0.84,12.03,78.25
1577,245,405,3.816430333,3.971335737,22.42572879,4.388695427,4.35,0.88,7.37,0.29,1.76,0.91,11.88,80.91
1578,245,415,3.831576162,3.992454246,21.97304808,4.359713626,4.29,0.84,7.14,0.29,1.74,0.93,11.72,79.92
1579,245,425,3.397942838,3.569521271,21.01021493,4.314858587,4.22,0.87,6.77,0.29,1.65,0.92,11.49,77.02
1580,245,435,2.969447204,3.152473398,19.80689476,4.315157773,4.22,0.79,6.61,0.30,1.56,0.92,11.21,75.95
1581,245,445,2.615422804,2.790302817,18.63160087,4.392388263,4.35,0.60,6.92,0.31,1.49,0.89,10.89,76.92
1582,245,455,3.067721541,3.253841933,17.71909885,4.571160407,4.57,0.42,7.68,0.30,1.50,0.79,10.67,79.12
1583,245,465,3.550003719,3.728484161,16.95538925,4.809550644,4.81,0.27,8.50,0.29,1.57,0.66,10.60,82.94
1584,245,475,3.822531656,3.958449799,16.25616704,5.057877244,5.02,0.17,9.07,0.26,1.65,0.55,10.69,88.54
1585,245,485,3.923274347,4.054354433,15.41984214,5.068778338,4.99,0.18,8.53,0.25,1.59,0.53,10.31,89.00
1586,245,495,3.853705876,4.019747675,14.50599071,4.842378538,4.78,0.34,7.35,0.25,1.40,0.59,9.53,83.09
1587,245,505,3.555865708,3.727637974,13.7525944,4.633969699,4.60,0.58,6.53,0.24,1.28,0.66,8.98,76.85
1588,245,515,3.095885908,3.269191707,13.19391541,4.543664486,4.53,0.88,6.13,0.24,1.25,0.71,8.85,73.85
1589,245,525,2.786101339,2.976991871,12.82728276,4.676683294,4.65,1.11,6.26,0.24,1.34,0.70,9.21,78.02
1590,245,535,1.489386767,1.609555312,12.67457982,4.866738886,4.81,1.15,6.54,0.26,1.48,0.67,9.86,84.69
1591,245,545,2.625321504,2.803655264,13.02622373,4.781100379,4.76,0.96,6.78,0.26,1.58,0.73,10.55,82.96
1592,245,555,3.704280464,3.884911417,13.6815835,4.790644214,4.80,0.61,7.67,0.28,1.76,0.73,11.49,81.38
1593,245,565,4.476262967,4.637282726,14.51779571,5.012050429,5.02,0.31,9.33,0.31,2.07,0.65,12.81,84.25
1594,245,575,5.052944178,5.177302519,15.40478496,5.299755684,5.29,0.14,11.27,0.34,2.40,0.54,14.30,89.61
1595,245,585,5.564167709,5.658891698,16.16291823,5.54710591,5.52,0.06,12.89,0.36,2.68,0.45,15.57,94.91
1596,245,595,5.476011736,5.572454489,16.57259948,5.66341972,5.65,0.04,13.46,0.37,2.77,0.41,16.07,97.94
1597,245,605,5.504232998,5.602540597,16.74319997,5.705581379,5.71,0.03,13.18,0.37,2.75,0.37,15.98,98.79
1598,245,615,5.705042744,5.809269976,16.82032051,5.711343837,5.71,0.02,12.51,0.36,2.69,0.34,15.68,98.46
1599,245,625,5.698434168,5.831966677,16.96033666,5.685357282,5.67,0.03,11.98,0.36,2.63,0.33,15.47,97.68
1600,245,635,5.856922283,5.976387779,17.19091602,5.652761583,5.61,0.04,11.66,0.36,2.57,0.35,15.38,96.76
1601,255,5,5.464098023,5.455438116,12.61509805,5.606602689,5.61,0.04,14.95,0.81,3.35,0.45,19.26,97.34
1602,255,15,5.092152569,5.130386708,12.84142097,5.638094575,5.64,0.04,15.29,0.75,3.39,0.43,19.58,97.71
1603,255,25,5.355428184,5.329460837,12.90836239,5.700165797,5.71,0.05,15.67,0.68,3.42,0.38,19.74,98.48
1604,255,35,5.302157496,5.257336615,13.0464524,5.71277758,5.73,0.07,15.74,0.65,3.53,0.36,19.81,98.95
1605,255,45,5.27265552,5.220490221,13.19780645,5.702630105,5.73,0.09,15.52,0.65,3.72,0.35,19.80,99.09
1606,255,55,5.293975116,5.242053355,13.27464723,5.697182942,5.72,0.11,15.26,0.68,3.90,0.34,19.67,98.95
1607,255,65,5.168025148,5.123927823,13.21457768,5.700510093,5.70,0.13,15.10,0.72,4.03,0.33,19.49,98.69
1608,255,75,4.946248264,4.911380257,13.00389855,5.705544154,5.69,0.14,14.95,0.77,4.11,0.32,19.21,98.32
1609,255,85,4.871138018,4.84259657,12.68241265,5.695752883,5.67,0.15,14.57,0.82,4.10,0.31,18.77,97.76
1610,255,95,4.794530374,4.778329974,12.26371037,5.642350159,5.62,0.14,13.76,0.82,4.02,0.31,18.11,96.96
1611,255,105,4.529192947,4.538072321,11.7489752,5.522994111,5.49,0.14,12.55,0.76,3.86,0.32,17.24,95.79
1612,255,115,4.1507563,4.194793134,11.24163043,5.367580539,5.33,0.12,11.23,0.67,3.69,0.34,16.38,94.81
