scientific_name,chronology_name,ring_diffuse,plot.abundance_n_10cm,ANPP_Mg.C.ha1.y1_10cm,percent.ANPP_10cm,num_individuals_with_cores,n_cores_current.chronologies_2010_11,n_cores_current.chronologies_2016_17,n_cores_collected_2010_11,n_cores_collected_2016_17,n_cores_rejected_2010_11,n_cores_rejected_2016_17,chronology_start_year,series_intercorrelation,mean_sensitivity,chronology_status,status_workflow,chronology_building_notes
Fagus grandifolia,fagr_drop,diffuse,275,0.040383873,1.460943186,81,81,NA,96,0,6,NA,1887,0.451,0.263,complete,5th review,"built by Ryan using 2010 cores. Added in 2011 cores, 4/11/2018 - Ryan. Reviewed by Neil once, adjusted by Ryan according to Neil's reccomendations 6/5. Final adjustments by Ryan"
Carya ovalis,caovl_drop,ring,290,0.031219365,1.129404278,25,23,2,64,3,1,1,1884,0.396,0.254,complete,7th review,"built by Ryan using 2010,16,17 cores. Low correlation, some edits made. Added in low correlation 4/16/2018. reviewed by Neil once, edited by Ryan, reviewed by Neil again, final edits by Ryan. Final approval by Neil 5/31"
Tilia americana,tiam_drop,diffuse,131,0.024653753,0.891884051,32,NA,NA,,,NA,NA,NA,NA,NA,not working,1st build,built by Ryan using 2010 cores 3/26/2018
Acer rubrum,acru_drop,diffuse,172,0.013879862,0.502123464,21,NA,NA,,,NA,NA,NA,NA,NA,not working,2nd build,built by Ryan using 2010 cores 3/27/2018
Platanus occidentalis,ploc,diffuse,25,0.011837583,0.428241162,1,NA,NA,,,NA,NA,NA,NA,NA,no- too few,1st build,too few
Nyssa sylvatica,nysy_drop,diffuse,485,0.008435269,0.305157684,13,NA,NA,,,NA,NA,NA,NA,NA,not working,1st build,"extreme lack of correlation, no matter what I try the correlation is very very low. I tried starting from 2010 and building out, but even just the 2010 samples to do not match nor do they correlate to the others. Some very old individuals from 1676,1773, 1873, etc. "
Pinus strobus,pist_drop,NA,86,0.007166826,0.259269972,36,35,1,35,1,0,0,1931,0.443,0.279,complete,5th review,"built by Ryan using 2010 cores, added in 2016 and 17. 3/26/2018. , reviewed by Neil 4/12. Edited by Ryan 4/16. Final edits 5/30. Final approval by Neil 5/31"
Fraxinus nigra,frni_drop,ring,42,0.005173516,0.187159205,16,0,16,1,16,0,0,1871,0.292,0.254,complete,7th review,"built by Ryan using 2016 and 2017 data, built 3/5/2018. Reviewed 3/22, still seem to be potential problems, but all FRNI were understory individuals growing close to a water source and sometimes in the middle of a stream, chronology does not include any dominant or codominant individuals, 4/16/2018 - added back in low correlation cores. Suggestions made by Neil, adjusted by Ryan according to Neil's reccomendations. Further reccomendations made by Neil, edited by Ryan 6/19"
Ulmus rubra,ulru_drop,ring,114,0.005084396,0.183935149,49,NA,NA,,,NA,NA,NA,NA,NA,not working,2nd build,"built by Ryan using 2010 cores as a base and adding in 2016 and 17, 3/28/2018. Added in low correlation 4/16/2018"
Cercis canadensis,ceca_drop,ring,99,0.004584528,0.165851721,7,NA,NA,,,NA,NA,NA,NA,NA,no- too few,2nd review,"built by Ryan using 2016 and 2017 data, reviewed 2/13/2018"
Prunus avium,prav_drop,diffuse,43,0.003803238,0.137587471,3,NA,NA,,,NA,NA,NA,NA,NA,no- too few,1st build,too few
Carpinus caroliniana,caca_drop,diffuse,198,0.001891818,0.068439175,7,NA,NA,,,NA,NA,NA,NA,NA,no- too few,2nd review,built by Ryan using 2016/17 cores. Added low correlation cores 4/17/2018
Fraxinus pennsylvanica,frpe,ring,14,0.000952667,0.034464055,1,NA,NA,,,NA,NA,NA,NA,NA,no- too few,1st build,too few
Quercus michauxii,qumi,ring,3,0.000693275,0.02508021,1,NA,NA,,,NA,NA,NA,NA,NA,no- too few,1st build,too few
Robinia pseudoacacia,rops,ring,5,0.000505187,0.018275849,1,NA,NA,,,NA,NA,NA,NA,NA,no- too few,1st build,too few
Sassafras albidum,saal_drop,ring,57,0.000357671,0.012939263,3,NA,NA,,,NA,NA,NA,NA,NA,no- too few,1st build,too few
Amelanchier arborea,amar,semi-ring,17,0.000351193,0.012704905,1,NA,NA,,,NA,NA,NA,NA,NA,no- too few,2nd review,too few
Cornus florida,cofl,diffuse,17,0.000110156,0.003985036,1,NA,NA,,,NA,NA,NA,NA,NA,no- too few,1st build,too few
