Tag,chronology,chronology_status,chronology_notes,Quadrat,DBH,Latin,Date_Collected,Date_Mounted,Date_First_Measured,number_of_rings,Duplicate,Notes
22434,CATO,NA,core not measured,228,168.2,Carya tomentosa,7/2/2010,7/14/2010,,,0,
22441,CATO,included,,228,568,Carya tomentosa,10/19/2010,10/25/2010,11/4/2010,71,0,"10/29/10, JM: Tree re-cored, original mounted incorrectly; 11/4/10, JM: 71 rings, 2009-1939."
22545,LITU,included,,230,590.2,Liriodendron tulipifera,10/19/2010,10/25/2010,11/4/2010,88,0,"10/29/10, JM: Tree re-cored, original mounted incorrectly; 11/4/10, JM: 88 rings, 2009-1922. 3 false rings at the pith."
22600,QUPR,included,"very low correlation, good match at +2",231,106.1,Quercus prinus,3/7/2011,3/10/2011,3/28/2011,51,0,"3/28/11, JM: 51 rings, 2009-1959."
22603,LITU,included,,231,130.7,Liriodendron tulipifera,3/7/2011,3/10/2011,3/28/2011,48,0,"3/28/11, JM: 48 rings, 2009-1962; 8/9/11, JM: Everything measures right, actually a very readible core. Just poor correlation?"
22604,LITU,included,,231,275.6,Liriodendron tulipifera,10/19/2010,10/25/2010,11/4/2010,46,0,"10/29/10, JM: Tree re-cored, original mounted incorrectly; 11/4/10, JM: 45 rings, 2009-1965; 12/8/10, JM: 46 rings, 2009-1964. Found missing ring, improved correlation by .04."
30062,FRAM,included,"very low correlation, but matches at +6 and -6, might be mising rings, but unclear",303,197.9,Fraxinus americana,6/23/2010,7/14/2010,1/4/2011,71,0,"1/4/11, JM: 71 rings, 2009-1939."
30135,JUNI,included,,302,248.1,Juglans nigra,6/23/2010,7/14/2010,1/11/2011,52,0,"1/11/11, JM: 52 rings, 2009-1958."
30212,FAGR,NA,core not measured,304,137.8,Fagus grandifolia,3/7/2011,3/10/2011,,,,
30214,FAGR,included,,305,122.1,Fagus grandifolia,3/7/2011,3/10/2011,4/5/2011,60,0,"4/5/11, JM: 60 rings, 2009-1950."
30226,JUNI,included,outer rings missing,306,378.7,Juglans nigra,6/25/2010,7/14/2010,1/10/2011,90,0,"1/10/11, JM: 90 rings, 2009-1920. May be missing front piece of core. "
30233,FAGR,included,,306,1030.4,Fagus grandifolia,3/7/2011,3/10/2011,3/30/2011,107,0,"3/7/11, JL: Tried to core twice, hit rot 15 cm in; 3/30/11, JM: 107 rings, 2009-1903. Measured core until rotted area."
30256,FAGR,NA,core not measured,310,600.9,Fagus grandifolia,3/7/2011,3/10/2011,,,,
30257,FAGR,rejected,"multiple scars and rot damage, very difficult to see damaged ringd",310,158.9,Fagus grandifolia,6/25/2010,7/14/2010,11/17/2010,81,0,"11/17/10, JM: 81 rings, 2009-1929. Although the center of the tree was cored, scarring keeps me from measuring beyond ring 81. Also, very small rings, and difficult to see ring boundaries makes me unsure of my measurement; 12/13/10, JM: 84 rings, 2009-1926. Can't seem to improve this correlation."
30304,CACO,NA,core not measured,305,274.9,Carya cordiformis,6/23/2010,7/14/2010,,,0,
30315,JUNI,included,,306,242.7,Juglans nigra,6/23/2010,7/14/2010,1/7/2011,96,0,"1/7/11, JM: 96 rings, 2009-1914."
30333,FAGR,included,,306,206.7,Fagus grandifolia,6/25/2010,7/14/2010,11/24/2010,89,0,"11/24/10, JM: 89 rings, 2009-1921. First 3 rings on twisted core, did my best to estimate ring boundaries, but may be off."
30377,CACO,NA,core not measured,309,227.3,Carya cordiformis,6/25/2010,7/14/2010,,,0,
30381,ACRU,NA,core not measured,308,301.2,Acer rubrum,6/25/2010,7/14/2010,,,0,
30418,FAGR,rejected,"damaged core, do not use",310,237.8,Fagus grandifolia,6/25/2010,7/15/2010,11/24/2010,35,0,"11/24/10, JM: 35 rings, 2009-1975. Very small piece of core is twisted on the bark end, but I don't think there are any rings on this piece. However, ring boundaries for the entire core were particularly difficult to see; 12/13/10, JM: cannot find missing rings that are messing with correlation. Re-measured core, but only slightly improved correlation."
30421,FAGR,included,"very low correlation, suggestion at 5,+1, -10",311,618.1,Fagus grandifolia,3/8/2011,3/10/2011,3/28/2011,117,0,"3/28/11, JM: 117 rings, 2009-1893."
30444,ULRU,included,,313,152.1,Ulmus rubra,6/29/2010,7/14/2010,12/29/2010,42,0,"12/29/10, JM: 42 rings, 2009-1968."
30472,FAGR,included,"very low correlation, suggestion at -8, but no reason to do that",314,103.4,Fagus grandifolia,3/7/2011,3/10/2011,3/28/2011,48,0,"3/28/11, JM: 47 rings, 2009-1963; 6/7/11, JM: 48 rings, 2009-1962. Still really low correlation after re-measuring. Might be missing rings, but too difficult to tell."
30483,FAGR,included,,314,164.3,Fagus grandifolia,6/29/2010,7/14/2010,11/18/2010,42,0,"11/18/10, JM: 42 rings, 2009-1968."
30525,CACO,NA,core not measured,314,182.3,Carya cordiformis,6/29/2010,7/14/2010,,,0,
30534,FAGR,included,"shifted -1, low correlation",314,111.7,Fagus grandifolia,3/7/2011,3/10/2011,3/28/2011,34,0,"3/28/11, JM: 32 rings, 2009-1938; 6/7/11, JM: 34 rings, 2009-1976. Still really bad correlation after re-measuring, might be missing rings at the beginning?"
30564,CATO,NA,core not measured,315,206.1,Carya tomentosa,10/19/2010,10/26/2010,,,0,"10/29/10, JM: Tree re-cored, original mounted incorrectly."
30571,CAGL,NA,core not measured,316,265.9,Carya glabra,8/10/2010,8/26/2010,,,0,
30624,CATO,NA,core not measured,316,250.8,Carya tomentosa,6/25/2010,7/14/2010,,,0,
32032,QUPR,included,shifted -7,319,119,Quercus prinus,3/7/2011,3/10/2011,4/6/2011,68,0,"4/6/11, JM: 70 rings, 2009-1940."
32050,TIAM,included,,318,403.1,Tilia americana,10/19/2010,10/25/2010,1/4/2011,54,0,"10/29/10, JM: Tree re-cored, original mounted incorrectly; 1/4/11, JM: 54 rings, 2009-1956."
32060,TIAM,included,,318,321.6,Tilia americana,6/25/2010,7/14/2010,1/21/2011,87,0,"1/21/11, JM: 87 rings, 2009-1923."
32061,TIAM,included,,318,688.2,Tilia americana,3/8/2011,3/10/2011,3/29/2011,88,0,"3/29/11, JM: 88 rings, 2009-1922."
32116,TIAM,included,,320,289,Tilia americana,10/19/2010,10/26/2010,1/4/2011,48,0,"10/29/10, JM: Tree re-cored, original mounted incorrectly; 1/4/11, JM: 48 rings, 2009-1962."
32178,TIAM,included,,322,222.5,Tilia americana,6/25/2010,7/14/2010,2/23/2011,52,0,"2/23/11, JM: 52 rings, 2009-1958. Did not measure to the end of the core, last piece doesn't look like it belongs."
32180,TIAM,included,,322,171.2,Tilia americana,10/19/2010,10/26/2010,1/6/2011,49,0,"10/29/10, JM: Tree re-cored, original mounted incorrectly; 1/6/11, JM: 49 rings, 2009-1951."
32189,LITU,included,,322,509.7,Liriodendron tulipifera,6/25/2010,7/14/2010,11/12/2010,74,0,"11/12/10, JM: 74 rings, 2009-1936. Possibly missing bark? "
32195,TIAM,included,,322,270.3,Tilia americana,6/25/2010,7/15/2010,1/5/2011,49,0,"1/5/11, JM: 49 rings, 2009-1961."
32215,TIAM,rejected,"unclear what happened to core. Not Tilia, possibly error in marking",323,153.7,Tilia americana,6/25/2010,7/16/2010,1/4/2011,34,0,"1/4/11, JM: 34 rings, 2009-1976."
32319,CATO,NA,core not measured,325,329.9,Carya tomentosa,7/2/2010,7/14/2010,,,0,
32360,CAOVL,NA,core not measured,327,391.8,Carya ovalis,7/2/2010,7/14/2010,,,0,
32367,CATO,NA,core not measured,327,158.3,Carya tomentosa,7/2/2010,7/14/2010,,,0,
32368,QUVE,included,,327,512,Quercus velutina,7/2/2010,7/14/2010,10/20/2010,83,0,"10/20/10, JM: 83 rings, 2009-1940."
32381,QUPR,included,,327,807.3,Quercus prinus,10/19/2010,10/25/2010,10/29/2010,88,0,"10/19/10, CL: rotten center, bored until spin out; 10/29/10, JM: 88 rings, 2009-1922. Tree re-cored, original mounted incorrectly."
32481,CAOVL,NA,core not measured,330,207.8,Carya ovalis,7/2/2010,7/14/2010,,,0,
32484,LITU,NA,core not measured,330,125.7,Liriodendron tulipifera,3/7/2011,3/10/2011,,,,
32493,QUVE,included,,331,363.3,Quercus velutina,10/19/2010,10/25/2010,10/29/2010,76,0,"10/29/10, JM: 76 rings, 2009-1934. Re-cored tree, original mounted incorrectly."
32498,QUVE,included,,331,551.9,Quercus velutina,10/19/2010,10/25/2010,10/29/2010,71,0,"10/29/10, JM: 71 rings, 2009-1939. Re-cored tree, original mounted incorrectly."
32505,NYSY,NA,core not measured,331,192.9,Nyssa sylvatica,7/2/2010,7/14/2010,,,0,
32516,QURU,included,,332,340.3,Quercus rubra,7/2/2010,7/14/2010,9/17/2010,70,0,"9/17/10, JM: 70 rings, 2009-1940. Scarring perhaps caused from a twisted core, along ring 1."
40024,JUNI,included,,401,249,Juglans nigra,6/23/2010,7/14/2010,1/12/2011,61,0,"1/13/10, JM: 61 rings, 2009-1949."
40112,CACO,NA,core not measured,402,272.8,Carya cordiformis,6/23/2010,7/14/2010,,,0,
40131,FRAM,included,,403,609.8,Fraxinus americana,3/7/2011,3/10/2011,3/28/2011,118,0,"3/28/11, JM: 118 rings, 2009-1892."
40464,QUPR,rejected,"rotten low quality core, mounted incorrectly",404,198.8,Quercus prinus,6/14/2010,6/18/2010,9/7/2010,124,0,"9/7/10, JM: 120 rings, 2009-1890; 11/4/10, JM: 124 rings, 2009-1886. Ring 31 and 32 are narrow. Ring 66 narrow. Re-measured, correlation still poor, with a little improvement."
40479,FAGR,included,,405,151.4,Fagus grandifolia,6/14/2010,6/18/2010,8/31/2010,41,0,"8/31/10, JM: 41 rings, 2009-1969."
40480,FAGR,included,,405,159.4,Fagus grandifolia,6/14/2010,6/17/2010,9/13/2010,47,0,"9/13/10, JM: 47 rings, 2009-1963. Although first section may be mounted incorrectly, I can see two ring boundaries."
40485,FAGR,included,,405,163.5,Fagus grandifolia,6/14/2010,6/22/2010,8/31/2010,37,0,"8/31/10, JM: 37 rings, 2009-1973."
40493,FAGR,included,,405,140.8,Fagus grandifolia,3/7/2011,3/10/2011,3/30/2011,57,0,"3/30/11, JM: 57 rings, 2009-1953. The tree has two piths; used the first one."
40522,CAGL,included,"last year is 2010, not 2009",404,227.1,Carya glabra,6/14/2010,7/6/2010,9/15/2010,129,0,"9/15/10, JM: 129 rings, 2009-1881. Period between 1980-1960 very dense, slow growth."
40529,QUPR,included,,405,481.2,Quercus prinus,6/14/2010,6/18/2010,9/7/2010,111,0,"9/7/10, JM: 111 rings, 2009-1899."
40533,QUVE,included,,405,487.1,Quercus velutina,6/14/2010,6/21/2010,8/19/2010,77,0,"8/19/10, JM: 77 rings, 2009-1933. Two cores were labelled 40533. The one not measured is clearly not a Quercus. I've crossed it out on the mounting bore, and did not measure."
40535,FAGR,NA,core not measured,405,151.4,Fagus grandifolia,6/14/2010,6/21/2010,,,0,
40536,FAGR,included,,405,127,Fagus grandifolia,3/7/2011,3/10/2011,3/30/2011,46,0,"3/30/11, JM: 46 rings, 2009-1964. First three rings on very crumbly, broken piece of core."
40538,QUPR,included,,405,519.5,Quercus prinus,6/14/2010,6/18/2010,9/7/2010,72,0,"9/7/10, JM: 72 rings, 2009-1938."
40549,FAGR,included,,406,159.9,Fagus grandifolia,6/14/2010,6/18/2010,9/1/2010,59,0,"9/1/10, JM: 59 rings, 2009-1951."
40550,CATO,NA,core not measured,406,257.4,Carya tomentosa,6/14/2010,6/22/2010,,,0,
40554,FAGR,included,,406,406.2,Fagus grandifolia,6/14/2010,7/1/2010,9/10/2010,82,0,"9/10/10, JM: 82 rings, 2009-1928."
40563,FAGR,included,,406,344.5,Fagus grandifolia,6/25/2010,7/14/2010,11/22/2010,78,0,"11/22/10, JM: 78 rings, 2009-1932. First piece of core unreadable (mounted incorrectly? Weird piece of core?) May not even belong there, started at the visible ring- maximum missing one ring. There are two false rings in 62."
40585,FAGR,included,,408,141,Fagus grandifolia,3/7/2011,3/10/2011,3/29/2011,31,0,"3/28/11, JM: 31 rings, 2009-1979."
