Census date,Observer name,Stake,Plot,Fence,Tag #,SpCode,Height 2012,Notes 2012,Height.cm 2014,Notes 2014,x,y,%L,Invasive1,%invasive1,Invasive2,%invasive2,Invasive3,%invasive3,Invasive4,%invasive4
6/19/2014,"Gonzalez, Samuel Pena",202,West,FALSE,,fram,NA,,NA,NF,NA,NA,0,mivi,90, alpe,20,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,West,FALSE,,fram,NA,,NA,NF,NA,NA,0,mivi,90, alpe,20,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,West,FALSE,,fram,NA,,NA,NF,NA,NA,0,mivi,90, alpe,20,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,West,FALSE,,fram,NA,,NA,NF,NA,NA,0,mivi,90, alpe,20,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,West,FALSE,,fram,NA,,NA,NF,NA,NA,0,mivi,90, alpe,20,None,0,None,0
6/19/2014,"Gonzalez, Samuel Pena",202,West,FALSE,,paqu,NA,,NA,NF,NA,NA,0,mivi,90, alpe,20,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,5995,ceoc,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,5996,libe,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6721,libe,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6722,fram,NA,not surveyed 2012,NA,"D, TR",NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6723,syor,NA,not surveyed 2012,NA,"D, TR",NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6724,syor,NA,not surveyed 2012,NA,"D, TR",NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6725,fram,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6726,fram,NA,not surveyed 2012,NA,"D, TR",NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6727,tora,NA,not surveyed 2012,NA,"D, TR",NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6728,syor,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6729,fram,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6730,fram,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6731,ceoc,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6732,fram,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6733,libe,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6734,loja,NA,not surveyed 2012,30,,0.20,0.50,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6735,syor,NA,not surveyed 2012,28,mis-identified 2010 as loja,0.50,0.55,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6736,fram,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6737,fram,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6738,tora,NA,not surveyed 2012,5,,0.25,0.50,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6739,tora,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6740,fram,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6742,tora,NA,not surveyed 2012,15,,0.00,0.75,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6743,tora,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6744,libe,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6745,caco,NA,not surveyed 2012,19,,0.30,0.80,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6746,libe,NA,not surveyed 2012,NA,"D, TR",NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6747,libe,NA,not surveyed 2012,NA,"D, TR",NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6748,tora,NA,not surveyed 2012,20,,0.40,0.80,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6749,beth,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6750,loja,NA,not surveyed 2012,NA,"D, TR",NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6751,loja,NA,not surveyed 2012,NA,"D, TR",NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,401-00,loja,NA,not surveyed 2012,100+ (goes up a tree),New 2014,0.50,0.30,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6625-00,loja,NA,not surveyed 2012,NA,"D, TR",NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6652-00,loja,NA,not surveyed 2012,11,,0.20,0.00,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,6680-00,prse,NA,not surveyed 2012,NA,NN,NA,NA,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,,tora,NA,not surveyed 2012,15,"New 2014, not tagged bc allergies",0.40,0.50,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,East,FALSE,,tora,NA,not surveyed 2012,15,"New 2014, not tagged bc allergies",0.00,0.50,20,NA,0,None,0,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,6752,ceoc,NA,not surveyed 2012,NA,NN,NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,6753,NA,NA,not surveyed 2012,NA,"D, TR",NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,6754,libe,NA,not surveyed 2012,NA,"D, TR",NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,6757,NA,NA,not surveyed 2012,NA,"D, TR",NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,6758,romu,NA,not surveyed 2012,NA,"D, TR",NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,6759,libe,NA,not surveyed 2012,NA,"D, TR",NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,6760,loja,NA,not surveyed 2012,30,looks dead,0.50,0.55,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,6761,libe,NA,not surveyed 2012,NA,NN,NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,6762,libe,NA,not surveyed 2012,NA,NN,NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,6763,libe,NA,not surveyed 2012,NA,NN,NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,6764,libe,NA,not surveyed 2012,NA,NN,NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,6945,paqu,NA,not surveyed 2012,NA,NN,NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,6946,libe,NA,not surveyed 2012,NA,NN,NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,6947,libe,NA,not surveyed 2012,NA,NN,NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,1191-00,paqu,NA,not surveyed 2012,13,New 2014,0.30,0.35,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,1601-00,libe,NA,not surveyed 2012,NA,"D, TR",NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,1610-00,libe,NA,not surveyed 2012,NA,NN,NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,1611-00,libe,NA,not surveyed 2012,NA,NN,NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,1615-00,libe,NA,not surveyed 2012,NA,NN,NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,1616-00,libe,NA,not surveyed 2012,NA,"D, TR",NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,1626-00,libe,NA,not surveyed 2012,NA,"D, TR",NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,3320-00,paqu,NA,not surveyed 2012,11,New 2014,0.40,0.90,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,5605-00,loja,NA,not surveyed 2012,24,New 2014,0.40,0.10,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,South,FALSE,626-00,libe,NA,not surveyed 2012,NA,"D, TR",NA,NA,0,mivi,2, alpe,1,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6765,libe,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6766,acne,NA,not surveyed 2012,19,tag lost,0.80,0.85,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6767,loja,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6768,loja,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6769,syor,NA,not surveyed 2012,29,tag lost,0.90,0.80,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6770,loja,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6771,fram,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6772,syor,NA,not surveyed 2012,46,,0.75,0.70,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6773,loja,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6774,loja,NA,not surveyed 2012,30,tag moved to healthy shoot,0.60,0.60,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6775,libe,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6776,syor,NA,not surveyed 2012,52,tag lost,0.95,0.60,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6777,syor,NA,not surveyed 2012,41,tag lost,0.80,0.55,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6778,loja,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6779,fram,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6780,fram,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6781,acne,NA,not surveyed 2012,41,,0.85,0.15,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6782,libe,NA,not surveyed 2012,32,broken,0.80,0.10,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6783,libe,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6784,loja,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6785,beth,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6786,beth,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6787,fram,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6788,prse,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6789,loja,NA,not surveyed 2012,20,,0.10,0.20,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6790,fram,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6791,fram,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6792,loja,NA,not surveyed 2012,NA,"D, TR",NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6793,loja,NA,not surveyed 2012,40,,0.60,0.50,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6794,loja,NA,not surveyed 2012,38,,0.65,0.50,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6795,fram,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6796,fram,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6797,loja,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6798,tora,NA,not surveyed 2012,NA,"D, TR",NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6799,libe,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6800,acne,NA,not surveyed 2012,47,tag lost,0.50,0.35,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6801,tora,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6802,fram,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6804,loja,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6805,loja,NA,not surveyed 2012,32,,0.10,0.10,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6806,libe,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6807,tora,NA,not surveyed 2012,28,,0.00,0.20,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6808,beth,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6809,loja,NA,not surveyed 2012,NA,"D, TR",NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6810,beth,NA,not surveyed 2012,61,,0.20,0.25,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6811,syor,NA,not surveyed 2012,8,looks dead,0.20,0.20,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6812,tora,NA,not surveyed 2012,22,,0.20,0.25,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6813,syor,NA,not surveyed 2012,42,tag lost,0.30,0.45,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6814,syor,NA,not surveyed 2012,33,tag lost,0.30,0.40,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6815,loja,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6816,loja,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6817,loja,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6818,fram,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6819,syor,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6820,syor,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6821,loja,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6822,syor,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6823,acne,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6824,loja,NA,not surveyed 2012,NA,"D, TR",NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6825,libe,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6826,syor,NA,not surveyed 2012,61,,0.20,0.65,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6827,fram,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6828,syor,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
7/15/2014,"Lewis A, Lavelle",205,West,FALSE,6830,syor,NA,not surveyed 2012,NA,NN,NA,NA,40,loja,10, beth,4,None,0,None,0
