"census","genus","species","sp","biomass.mortality.Mg.C.ha.1.yr.1"
"census 2015 and 2016","Acer","rubrum","acru",0.00079524895212437
"census 2015 and 2016","Carpinus","caroliniana","caca",0.00169131515594009
"census 2015 and 2016","Carya","cordiformis","caco",0.13838908376638
"census 2015 and 2016","Carya","glabra","cagl",0.0187053306246081
"census 2015 and 2016","Carya","tomentosa","cato",0.0561839942325648
"census 2015 and 2016","Cercis","canadensis","ceca",0.00558155003442348
"census 2015 and 2016","Fraxinus","americana","fram",0.120262987881869
"census 2015 and 2016","Fraxinus","nigra","frni",0.0555491733815406
"census 2015 and 2016","Fraxinus","pennsylvanica","frpe",0.000769018902909802
"census 2015 and 2016","Lindera","benzoin","libe",0.000579655828113964
"census 2015 and 2016","Liriodendron","tulipifera","litu",0.0600214747631324
"census 2015 and 2016","Nyssa","sylvatica","nysy",0.0277345138594164
"census 2015 and 2016","Pinus","strobus","pist",0.00106419992943011
"census 2015 and 2016","Platanus","occidentalis","ploc",0.00460543265651894
"census 2015 and 2016","Prunus","avium","prav",0.0230384486608863
"census 2015 and 2016","Quercus","alba","qual",0.0869986043565319
"census 2015 and 2016","Quercus","michauxii","qumi",0.00711319213276915
"census 2015 and 2016","Quercus","prinus","qupr",0.010201732097214
"census 2015 and 2016","Quercus","rubra","quru",0.144681671991245
"census 2015 and 2016","Quercus","velutina","quve",0.49252536910645
"census 2015 and 2016","Sassafras","albidum","saal",0.007364633761906
"census 2015 and 2016","Tilia","americana","tiam",0.0107389373550344
"census 2015 and 2016","Ulmus","americana","ulam",0.00364818453553455
"census 2015 and 2016","Ulmus","rubra","ulru",0.0182632198208861
"census 2016 and 2017","All","All",NA,2.60917207174507
"census 2016 and 2017","Acer","All",NA,0.000644156104048852
"census 2016 and 2017","Amelanchier","All",NA,0.00112991674628964
"census 2016 and 2017","Carpinus","All",NA,0.00336744393437457
"census 2016 and 2017","Carya","All",NA,0.332591038677364
"census 2016 and 2017","Cercis","All",NA,0.00687729824537849
"census 2016 and 2017","Cornus","All",NA,0.00124119185257327
"census 2016 and 2017","Fraxinus","All",NA,1.07490183551627
"census 2016 and 2017","Juglans","All",NA,0.00174522562954921
"census 2016 and 2017","Liriodendron","All",NA,0.0587260985233424
"census 2016 and 2017","Nyssa","All",NA,0.0473051137386039
"census 2016 and 2017","Pinus","All",NA,0.000744232862551674
"census 2016 and 2017","Prunus","All",NA,0.00073838429953033
"census 2016 and 2017","Quercus","All",NA,1.05444322736557
"census 2016 and 2017","Robinia","All",NA,0.0109147400406183
"census 2016 and 2017","Ulmus","All",NA,0.0138021682090106
"census 2016 and 2017","Acer","rubrum","acru",0.000644156104048852
"census 2016 and 2017","Amelanchier","arborea","amar",0.00112991674628964
"census 2016 and 2017","Carpinus","caroliniana","caca",0.00336744393437457
"census 2016 and 2017","Carya","cordiformis","caco",0.197719831492451
"census 2016 and 2017","Carya","glabra","cagl",0.0616854922957945
"census 2016 and 2017","Carya","ovalis","caovl",0.00898920440513021
"census 2016 and 2017","Carya","tomentosa","cato",0.0641965104839888
"census 2016 and 2017","Cercis","canadensis","ceca",0.00687729824537849
"census 2016 and 2017","Cornus","florida","cofl",0.00124119185257327
"census 2016 and 2017","Fraxinus","americana","fram",1.03570808384581
"census 2016 and 2017","Fraxinus","nigra","frni",0.0391937516704517
"census 2016 and 2017","Juglans","nigra","juni",0.00174522562954921
"census 2016 and 2017","Liriodendron","tulipifera","litu",0.0587260985233424
"census 2016 and 2017","Nyssa","sylvatica","nysy",0.0473051137386039
"census 2016 and 2017","Pinus","strobus","pist",0.000744232862551674
"census 2016 and 2017","Prunus","avium","prav",0.00073838429953033
"census 2016 and 2017","Quercus","alba","qual",0.00949854580044767
"census 2016 and 2017","Quercus","prinus","qupr",0.327597672059134
"census 2016 and 2017","Quercus","rubra","quru",0.275688630613757
"census 2016 and 2017","Quercus","velutina","quve",0.441658378892231
"census 2016 and 2017","Robinia","pseudoacacia","rops",0.0109147400406183
"census 2016 and 2017","Ulmus","rubra","ulru",0.0138021682090106
"census 2017 and 2018","All","All",NA,3.56208152776118
"census 2017 and 2018","Acer","All",NA,0.0290469424805326
"census 2017 and 2018","Carpinus","All",NA,0.00362759911817644
"census 2017 and 2018","Carya","All",NA,0.141977039999128
"census 2017 and 2018","Cercis","All",NA,0.0143313518763064
"census 2017 and 2018","Cornus","All",NA,0.00106255559389208
"census 2017 and 2018","Fagus","All",NA,0.0256977397936483
"census 2017 and 2018","Fraxinus","All",NA,1.02377370672421
"census 2017 and 2018","Hamamelis","All",NA,0.00201409083169133
"census 2017 and 2018","Juglans","All",NA,0.0881072111030733
"census 2017 and 2018","Liriodendron","All",NA,0.392286893593038
"census 2017 and 2018","Nyssa","All",NA,0.0023735947637059
"census 2017 and 2018","Pinus","All",NA,0.00162876731111637
"census 2017 and 2018","Prunus","All",NA,0.696887393237183
"census 2017 and 2018","Quercus","All",NA,1.08663762551554
"census 2017 and 2018","Robinia","All",NA,0.00250223541506129
"census 2017 and 2018","Sassafras","All",NA,0.00756543767281672
"census 2017 and 2018","Tilia","All",NA,0.0268281956449179
"census 2017 and 2018","Ulmus","All",NA,0.0141687245658542
"census 2017 and 2018","Viburnum","All",NA,0.00156442252128204
"census 2017 and 2018","Acer","rubrum","acru",0.0290469424805326
"census 2017 and 2018","Carpinus","caroliniana","caca",0.00362759911817644
"census 2017 and 2018","Carya","cordiformis","caco",0.00149469853570398
"census 2017 and 2018","Carya","glabra","cagl",0.0733346309014093
"census 2017 and 2018","Carya","ovalis","caovl",0.0151374981742858
"census 2017 and 2018","Carya","tomentosa","cato",0.0520102123877287
"census 2017 and 2018","Cercis","canadensis","ceca",0.0143313518763064
"census 2017 and 2018","Cornus","florida","cofl",0.00106255559389208
"census 2017 and 2018","Fagus","grandifolia","fagr",0.0256977397936483
"census 2017 and 2018","Fraxinus","americana","fram",1.00086049920727
"census 2017 and 2018","Fraxinus","nigra","frni",0.0218622647606542
"census 2017 and 2018","Fraxinus","pennsylvanica","frpe",0.00105094275628589
"census 2017 and 2018","Hamamelis","virginiana","havi",0.00201409083169133
"census 2017 and 2018","Juglans","nigra","juni",0.0881072111030733
"census 2017 and 2018","Liriodendron","tulipifera","litu",0.392286893593038
"census 2017 and 2018","Nyssa","sylvatica","nysy",0.0023735947637059
"census 2017 and 2018","Pinus","strobus","pist",0.00162876731111637
"census 2017 and 2018","Prunus","avium","prav",0.0086443828256046
"census 2017 and 2018","Prunus","serotina","prse",0.688243010411578
"census 2017 and 2018","Quercus","alba","qual",0.146463073824783
"census 2017 and 2018","Quercus","michauxii","qumi",0.0349902461569506
"census 2017 and 2018","Quercus","prinus","qupr",0.220358972882349
"census 2017 and 2018","Quercus","rubra","quru",0.146186155724534
"census 2017 and 2018","Quercus","velutina","quve",0.538639176926929
"census 2017 and 2018","Robinia","pseudoacacia","rops",0.00250223541506129
"census 2017 and 2018","Sassafras","albidum","saal",0.00756543767281672
"census 2017 and 2018","Tilia","americana","tiam",0.0268281956449179
"census 2017 and 2018","Ulmus","americana","ulam",0.00198710296110539
"census 2017 and 2018","Ulmus","rubra","ulru",0.0121816216047488
"census 2017 and 2018","Viburnum","prunifolium","vipr",0.00156442252128204
"census 2018 and 2019","All","All",NA,2.54544430016565
"census 2018 and 2019","Acer","All",NA,0.00140798930890572
"census 2018 and 2019","Amelanchier","All",NA,0.00123784909220388
"census 2018 and 2019","Carya","All",NA,0.248362757556997
"census 2018 and 2019","Cercis","All",NA,0.00644980991878681
"census 2018 and 2019","Fraxinus","All",NA,0.956688716010599
"census 2018 and 2019","Juglans","All",NA,0.00313162298540197
"census 2018 and 2019","Liriodendron","All",NA,0.0473586063129989
"census 2018 and 2019","Nyssa","All",NA,0.00238498166814196
"census 2018 and 2019","Paulownia","All",NA,0.00964124830073658
"census 2018 and 2019","Pinus","All",NA,0.00170934722767233
"census 2018 and 2019","Quercus","All",NA,1.21483281667863
"census 2018 and 2019","Robinia","All",NA,0.0354537160338768
"census 2018 and 2019","Sassafras","All",NA,0.00439963539798553
"census 2018 and 2019","Ulmus","All",NA,0.0123852036727182
"census 2018 and 2019","Acer","rubrum","acru",0.00140798930890572
"census 2018 and 2019","Amelanchier","arborea","amar",0.00123784909220388
"census 2018 and 2019","Carya","cordiformis","caco",0.0966578434580518
"census 2018 and 2019","Carya","glabra","cagl",0.0488074738809635
"census 2018 and 2019","Carya","ovalis","caovl",0.054755902069664
"census 2018 and 2019","Carya","tomentosa","cato",0.048141538148318
"census 2018 and 2019","Cercis","canadensis","ceca",0.00644980991878681
"census 2018 and 2019","Fraxinus","americana","fram",0.927379215706242
"census 2018 and 2019","Fraxinus","nigra","frni",0.0293095003043572
"census 2018 and 2019","Juglans","nigra","juni",0.00313162298540197
"census 2018 and 2019","Liriodendron","tulipifera","litu",0.0473586063129989
"census 2018 and 2019","Nyssa","sylvatica","nysy",0.00238498166814196
"census 2018 and 2019","Paulownia","tomentosa","pato",0.00964124830073658
"census 2018 and 2019","Pinus","strobus","pist",0.00170934722767233
"census 2018 and 2019","Quercus","alba","qual",0.0886118081114295
"census 2018 and 2019","Quercus","prinus","qupr",0.0893817387691346
"census 2018 and 2019","Quercus","rubra","quru",0.374768295870525
"census 2018 and 2019","Quercus","velutina","quve",0.662070973927539
"census 2018 and 2019","Robinia","pseudoacacia","rops",0.0354537160338768
"census 2018 and 2019","Sassafras","albidum","saal",0.00439963539798553
"census 2018 and 2019","Ulmus","rubra","ulru",0.0123852036727182
"census 2019 and 2020","All","All",NA,5.63930520438328
"census 2019 and 2020","Acer","All",NA,0.00511417743587497
"census 2019 and 2020","Carpinus","All",NA,0.000928653501337623
"census 2019 and 2020","Carya","All",NA,0.229366796457352
"census 2019 and 2020","Celtis","All",NA,0.00104979738000547
"census 2019 and 2020","Cercis","All",NA,0.0144146958183137
"census 2019 and 2020","Fagus","All",NA,0.00199140086286055
"census 2019 and 2020","Fraxinus","All",NA,3.58706081427948
"census 2019 and 2020","Juglans","All",NA,0.0381653685711718
"census 2019 and 2020","Liriodendron","All",NA,0.15720164288307
"census 2019 and 2020","Nyssa","All",NA,0.0190232410080342
"census 2019 and 2020","Pinus","All",NA,0.00416843699306974
"census 2019 and 2020","Quercus","All",NA,1.53766574777089
"census 2019 and 2020","Sassafras","All",NA,0.0208881768098173
"census 2019 and 2020","Ulmus","All",NA,0.0222662546120003
"census 2019 and 2020","Acer","rubrum","acru",0.00511417743587497
"census 2019 and 2020","Carpinus","caroliniana","caca",0.000928653501337623
"census 2019 and 2020","Carya","cordiformis","caco",0.0172080051773059
"census 2019 and 2020","Carya","glabra","cagl",0.137646092654525
"census 2019 and 2020","Carya","ovalis","caovl",0.022224814178621
"census 2019 and 2020","Carya","tomentosa","cato",0.0522878844468998
"census 2019 and 2020","Cercis","canadensis","ceca",0.0144146958183137
"census 2019 and 2020","Celtis","occidentalis","ceoc",0.00104979738000547
"census 2019 and 2020","Fagus","grandifolia","fagr",0.00199140086286055
"census 2019 and 2020","Fraxinus","americana","fram",3.57147840398994
"census 2019 and 2020","Fraxinus","nigra","frni",0.0143082699660461
"census 2019 and 2020","Fraxinus","pennsylvanica","frpe",0.00127414032349993
"census 2019 and 2020","Juglans","nigra","juni",0.0381653685711718
"census 2019 and 2020","Liriodendron","tulipifera","litu",0.15720164288307
"census 2019 and 2020","Nyssa","sylvatica","nysy",0.0190232410080342
"census 2019 and 2020","Pinus","strobus","pist",0.000563445416794528
"census 2019 and 2020","Pinus","virginiana","pivi",0.00360499157627521
"census 2019 and 2020","Quercus","alba","qual",0.160829937537792
"census 2019 and 2020","Quercus","prinus","qupr",0.168104532449495
"census 2019 and 2020","Quercus","rubra","quru",0.510175433138433
"census 2019 and 2020","Quercus","velutina","quve",0.698555844645169
"census 2019 and 2020","Sassafras","albidum","saal",0.0208881768098173
"census 2019 and 2020","Ulmus","americana","ulam",0.00385956393195573
"census 2019 and 2020","Ulmus","rubra","ulru",0.0184066906800446
